"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.160559969530481,-0.20055998640182,-0.120559952659142,4.04449296331137e-11,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.0468321689413367,-0.0852373497961776,-0.00842698808649577,0.0448805056019065,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.265650194075884,-0.355307139075105,-0.175993249076664,1.09560488722111e-06,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.15192239348674,-0.241140324329259,-0.0627044626442209,0.00509610203743603,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.029052299204939,-0.0712667134172059,0.013162115007328,0.2576338086814,"Midday - Bic - 0"
"Ped","Midday","0",0.0846755013842053,0.0459697492802275,0.123381253488183,0.000320180050970099,"Midday - Ped - 0"
"Bic","Midday","1",-0.134142523750342,-0.225006822030602,-0.0432782254700833,0.0151702307370855,"Midday - Bic - 1"
"Ped","Midday","1",-0.0204147231611982,-0.1099631123765,0.069133666054104,0.70767221445569,"Midday - Ped - 1"
"Bic","Morning","0",-0.0282053574902473,-0.0654538118560225,0.00904309687552794,0.212940770228048,"Morning - Bic - 0"
"Ped","Morning","0",0.085522443098897,0.0561029144246444,0.114941971773149,1.73920679599844e-06,"Morning - Ped - 0"
"Bic","Morning","1",-0.133295582035651,-0.221836732466073,-0.0447544316052285,0.0132763441548022,"Morning - Bic - 1"
"Ped","Morning","1",-0.0195677814465065,-0.105382182713195,0.0662466198201818,0.707610757913154,"Morning - Ped - 1"
