"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.98812042421059,0.0360217659813031,82.9531907392202,0
"TrafficType1",-0.411248044462709,0.0210768376328268,-19.5118476323127,1.11698264926852e-84
"Station1",0.882823473258977,0.018165862826545,48.5979378842905,0
"Station2",-0.294382248453813,0.0125673765246622,-23.4243199347229,4.04726610190914e-121
"Station3",0.411940538341373,0.048068923661935,8.56978910612851,1.04662285267086e-17
"Station4",0.449886567477732,0.0105249753823861,42.7446669595666,0
"Station5",1.04223146276797,0.0139780022854756,74.5622615794636,0
"Station6",1.71614459603339,0.00647101712094212,265.204768270422,0
"Station7",-0.310471784100895,0.0201963043509846,-15.3727027829108,2.747672634337e-53
"Station8",0.335062394151504,0.0140257233119144,23.8891347490707,6.94102174365083e-126
"Station9",0.256375311888001,0.0237670533031046,10.7870045402099,4.05957098584072e-27
"Station10",-0.893165441162771,0.0145800167967317,-61.2595618794477,0
"Station11",1.20020244433645,0.00789466872306359,152.026954700475,0
"Station12",0.00458020457584373,0.0167249398638591,0.273854770966387,0.784196618082644
"Station13",-1.20801609429604,0.0202302776971666,-59.7132729653645,0
"Station14",-0.332469382532621,0.0188786544598781,-17.6108622168599,2.39918447042962e-69
"Station15",1.30527066555628,0.00756567392401337,172.525366367346,0
"Station16",0.424580375305854,0.0102247620085896,41.5247195924144,0
"Station17",1.46182157026272,0.00808494178344728,180.807927801729,0
"Station18",-0.44127077774627,0.0226000953389169,-19.5251732848405,8.6116727022936e-85
"Station19",-0.369864396189656,0.0347129622586154,-10.6549361427044,1.69110734237178e-26
"Station20",-0.62780596219476,0.0372092675318785,-16.8723010109483,8.27101454921408e-64
"Station21",-0.283745435480385,0.0150242761346643,-18.8857974212629,1.8574742534604e-79
"Station22",-0.371493945717199,0.0350105212141182,-10.6109230264013,2.71034467480071e-26
"Station23",-0.472827616163559,0.0344968263142936,-13.7064091593738,9.87923256054061e-43
"Station24",-0.100318196609415,0.0288042807653667,-3.48275304724965,0.000496431068502995
"Station25",-1.67866533429101,0.0347455519176091,-48.3131002860905,0
"Station26",0.56310032480604,0.0106943778586574,52.6538646986551,0
"Station27",-0.0431705550187727,0.0422298424632426,-1.02227601384847,0.306651975928162
"Station28",1.25757907641365,0.0153477865884649,81.9387909236908,0
"Station29",-1.08264829014937,0.021102212928726,-51.3049647355033,0
"Station30",-0.313561413613876,0.0148105034544974,-21.1715566980716,2.46609538853754e-99
"TimeOfDay1",-0.108626060474665,0.0314740081379114,-3.45129415988878,0.000558062864030189
"TimeOfDay2",0.0169287264969894,0.0304899603393843,0.555222975318938,0.578743006225713
"IsOAD1",-0.0341435436933427,0.0130623559259779,-2.61388863439552,0.00895273930548474
"AQI_Cat1",-0.0281769122963944,0.0212741437798371,-1.32446751267609,0.185349898391502
"AQI_Cat2",0.00201103823728447,0.0211668629965669,0.0950087992543179,0.924307968104352
"AQI_Cat3",0.00105723435909553,0.0239192415749074,0.0442001622745691,0.96474491313909
"Weekday1",-0.0881311190391609,0.00518510815459856,-16.9969683199374,9.98404292536083e-65
"Weekday2",-0.139179117854066,0.0054111888787513,-25.7206172197382,1.45414133359587e-145
"Weekday3",0.368924904172261,0.00432216364443556,85.3565330982369,0
"Weekday4",0.330882345573305,0.00438384485460734,75.4776586643011,0
"Weekday5",-0.157798156436214,0.00535108724455262,-29.4889896622134,1.45121933406783e-190
"Weekday6",-0.156543993069065,0.00538680852060682,-29.0606195616974,3.82390640554498e-185
"Holiday1",-0.074531688472378,0.0129258516742896,-5.76609498162716,8.1292143167961e-09
"Month1",0.163807549812665,0.00612148286213239,26.7594557563792,2.30470944940593e-157
"Month2",0.0796905707639236,0.00503368440391063,15.8314594975427,2.10379757479046e-56
"Month3",-0.0239295152310502,0.00530235890290731,-4.51299424826365,6.39685427357236e-06
"Month4",-0.131070661677458,0.00588722127849547,-22.263586754625,1.26963005413839e-109
"Month5",-0.147629952836766,0.00601547736855214,-24.541685354607,9.87714214010654e-133
"Month6",-0.00620906756079436,0.00516822456664419,-1.2013927569765,0.229600832846493
"Year1",-0.499827959359975,0.026980586953372,-18.5254664853578,1.57566357434135e-76
"Year2",-0.268495752434834,0.0239144711031132,-11.2273339133091,3.07758791860912e-29
"Year3",-0.242536992481541,0.0235528144260672,-10.2975800723463,7.36864525904127e-25
"Year4",-0.0773871265770723,0.0271231863759539,-2.85317239296339,0.00432912148358107
"Year5",0.205674636585171,0.0115548820816095,17.7998040250465,8.42838958479162e-71
"Year6",0.210626057226001,0.00901470746168133,23.3647135108162,1.62782114685398e-120
"Year7",0.249978671606941,0.00889639431727508,28.0988749702259,2.93622708662758e-173
"Year8",0.218310186162549,0.00784420370399786,27.8307645237827,5.13769089015709e-170
"Year9",-0.0742054211315885,0.00814109280251494,-9.11492141554571,7.96855250903437e-20
"Year10",-0.0458189368956345,0.008328178057804,-5.50167594612118,3.76826903055596e-08
"Year11",0.12174877496603,0.00737016940777147,16.5191284256847,3.03800286350622e-61
"Year12",0.114628913298384,0.00761080847811373,15.0613320027722,3.17870495216258e-51
"MeanT",-0.0153857606462194,0.000644292331079022,-23.8800927840508,8.61020583162249e-126
"Precip",-0.0271396289225624,0.00360968970005199,-7.51854901050678,5.57019293330522e-14
"Sunshine_Hrs",0.406597780203649,0.010351438836703,39.2793491434235,0
"RelativeH",0.00156418723964243,0.000175659673705882,8.90464616404469,5.41505827229777e-19
"WindSpeed",-0.00439997329199769,0.000354049046629926,-12.4275812458177,1.92965563047101e-35
"WMO1",0.119294247957949,0.00960231162919058,12.4234926510091,2.03077086415565e-35
"WMO2",0.0306325305023529,0.0100073757335858,3.06099534162056,0.00220642565497601
"WMO3",0.0712747173778011,0.0103862908480235,6.86238411967491,6.7989071084911e-12
"WMO4",0.0788756114377063,0.00873798130015403,9.02675443312244,1.78909009513342e-19
"WMO5",0.0350096640133087,0.00809571906501485,4.3244662681788,1.53002775693208e-05
"WMO6",-0.0317348994022379,0.00933099238697763,-3.40102082245049,0.000671526851887458
"WMO7",-0.0355962962534646,0.0136881999077327,-2.60050967208301,0.0093094771062569
"WMO8",-0.0674091729370731,0.0106452562443342,-6.33232036785875,2.42199833717846e-10
"WMO9",-0.110556408925743,0.0129829737714291,-8.51549197218889,1.67425349429264e-17
"TimeOfDay1:IsOAD1",-0.0439770470609626,0.00820304204898078,-5.36106566300324,8.28575425484508e-08
"TimeOfDay2:IsOAD1",0.0217767881018084,0.00833203980612392,2.61362026688864,0.0089597733694824
"TrafficType1:IsOAD1",-0.0284319501472861,0.00565101152058436,-5.0313028107835,4.87734290652174e-07
"IsOAD1:Holiday1",0.0262725561363509,0.0128811071210463,2.03961941232711,0.0413900430096733
"TrafficType1:TimeOfDay1",0.141189201274091,0.00294351185078626,47.9662418333315,0
"TrafficType1:TimeOfDay2",0.0253212043873958,0.00312043315096351,8.11464407740229,4.90949447151718e-16
"TimeOfDay1:AQI_Cat1",0.0600050743582299,0.0309333970270306,1.93981521996422,0.0524040732304056
"TimeOfDay2:AQI_Cat1",-0.0001055683044494,0.0301305955401037,-0.00350369126653634,0.997204469338103
"TimeOfDay1:AQI_Cat2",0.00989718702629798,0.0308490167052747,0.320826661052237,0.748342213050263
"TimeOfDay2:AQI_Cat2",-0.00769329985799797,0.0300402682629438,-0.256099572435844,0.79787431286097
"TimeOfDay1:AQI_Cat3",-0.00511341897894169,0.0345853951617812,-0.147849083551669,0.882462076023936
"TimeOfDay2:AQI_Cat3",-0.0887900791859231,0.0342246301889698,-2.59433275672147,0.00947841762660564
"TrafficType1:AQI_Cat1",-0.0765240458574684,0.0208189032544326,-3.67570015203252,0.000237282846993369
"TrafficType1:AQI_Cat2",-0.015526034244597,0.0207533043620998,-0.748123478252026,0.454386886436581
"TrafficType1:AQI_Cat3",0.0931100368161586,0.0232914167499691,3.99761155861342,6.4016247638196e-05
