"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.150515827621247,-0.171363195157097,-0.129668460085396,1.58355826186346e-32,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.215359043053055,-0.236012448007209,-0.194705638098902,6.13924552320329e-66,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.291316435795771,-0.337709876091448,-0.244922995500095,5.23937687431702e-25,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.35615965122758,-0.402463042129694,-0.309856260325466,1.09062870138714e-36,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.0562460173998265,-0.07826295325666,-0.0342290815429931,2.64498052056243e-05,"Midday - Bic - 0"
"Ped","Midday","0",-0.121089232831635,-0.143233110661348,-0.098945355001922,2.37216800383348e-19,"Midday - Ped - 0"
"Bic","Midday","1",-0.197046625574351,-0.243997181638762,-0.150096069509941,5.08151603211526e-12,"Midday - Bic - 1"
"Ped","Midday","1",-0.26188984100616,-0.308896892382638,-0.214882789629682,5.00298146492359e-20,"Midday - Ped - 1"
"Bic","Morning","0",0.095241502276936,0.0777098202443517,0.11277318430952,4.04508370759786e-19,"Morning - Bic - 0"
"Ped","Morning","0",0.0303982868451274,0.0143229443720308,0.046473629318224,0.00186834651989326,"Morning - Ped - 0"
"Bic","Morning","1",-0.0455591058975889,-0.0905864023479493,-0.000531809447228457,0.0960563469300689,"Morning - Bic - 1"
"Ped","Morning","1",-0.110402321329397,-0.154879467032606,-0.0659251756261889,4.44775075164938e-05,"Morning - Ped - 1"
