"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.46664088139347,0.17828150721078,8.22654522243567,2.24883416052543e-16
"TrafficType1",-0.0739960023688026,0.0328793672076889,-2.25053000264247,0.0244438533356348
"Station1",-1.69910685418915,0.0350831340288262,-48.4308742996869,0
"Station2",-1.96789771547962,0.0550499996487114,-35.7474609997692,8.67643969164402e-259
"Station3",2.34963956377216,0.0247807437479999,94.8171526918681,0
"Station4",2.40417765102448,0.0252074515590831,95.3756727604687,0
"TimeOfDay1",-0.21647910379033,0.0301142053503611,-7.18860422420989,7.16928069273976e-13
"TimeOfDay2",0.0487906612360734,0.0284935470395575,1.71234073344177,0.0868747728312098
"IsOAD1",0.29007966209447,0.132866098835966,2.18324813203553,0.029048092009702
"AQI_Cat1",9.32607303019999e-05,0.0326015833624169,0.00286061965964238,0.997717634090035
"AQI_Cat2",0.0229071344730826,0.0239330156859436,0.957135313563366,0.338529470738004
"Weekday1",0.210606905908821,0.0127442777052447,16.5256055133002,2.69567090626759e-60
"Weekday2",0.0715677680199618,0.0143349740562345,4.99252860446134,6.0922565914361e-07
"Weekday3",-0.0827607002559627,0.0144081963570192,-5.74400141455903,9.60390179065723e-09
"Weekday4",-0.54860839907995,0.0176431102268546,-31.0947668538007,6.6592146442604e-200
"Weekday5",0.102799988289218,0.013423885656222,7.65799045983159,2.12224390324193e-14
"Weekday6",0.115313456625595,0.0132795958783753,8.68350646222405,4.64564623114543e-18
"Holiday1",-0.0962444694157082,0.132695092433518,-0.725305417485038,0.468287061458234
"Month1",0.0865159578780646,0.0165839936732114,5.21683495440646,1.86823522189976e-07
"Month2",0.0431709709578558,0.0140662325804805,3.06912108205601,0.00215447863509569
"Month3",-0.0787359469402164,0.0163224345098467,-4.82378697201806,1.43605560521615e-06
"Month4",-0.137344031489939,0.0158464703486711,-8.66716867970896,5.35532438522157e-18
"Month5",0.0107543625817859,0.0123813243389592,0.868595498136339,0.385095903038051
"Year1",-0.155490806987013,0.0845950785506969,-1.8380597270068,0.066092693127963
"Year2",0.0797534667872755,0.0927847873081979,0.859553264075101,0.390062515351418
"Year3",0.0683249056763882,0.0445307354320581,1.53433140085085,0.124989857702809
"MeanT",-0.0036381743638308,0.00200395686644136,-1.81549534561165,0.0694872960998628
"Precip",-0.0160883940503313,0.0318662166532833,-0.504873051777034,0.613662672084005
"Sunshine_Hrs",0.118247217261564,0.0790374325080711,1.49609132672027,0.13467146854951
"RelativeH",-0.000378472554726372,0.00051893320433659,-0.729328074525922,0.465823525915238
"WindSpeed",-0.00312240086730554,0.000970452830138443,-3.217467939024,0.00129870946150208
"WMO1",0.0084163577729835,0.0556817975702958,0.15115097105761,0.879860645338511
"WMO2",0.0259601954997494,0.0560016640209755,0.463561145076439,0.642975500735214
"WMO3",0.00785591420969852,0.0573236637446731,0.13704487285896,0.890998964093567
"WMO4",-0.0255873101216564,0.0554939282709088,-0.461083057532797,0.644752238816988
"WMO5",-0.0549866782651266,0.0528247887908813,-1.0409256624348,0.297943232323059
"WMO6",-0.0365286169995687,0.0483654996768583,-0.755261854909497,0.45011533547097
"WMO7",-0.0530192528657413,0.0945755513235364,-0.560602101957261,0.575085378622522
"WMO8",0.0460664202572343,0.0414880703335211,1.11035340730258,0.266881970130594
"WMO9",-0.023292424916088,0.0831799029086037,-0.280024670642874,0.779466214427244
"TimeOfDay1:IsOAD1",0.0106542678081745,0.0136632895033647,0.779773260718131,0.435548681308744
"TimeOfDay2:IsOAD1",-0.021225469977789,0.0143504744348155,-1.47907792694952,0.139161021256477
"TrafficType1:IsOAD1",-0.00748600869076603,0.0236127526200226,-0.317032444765385,0.751227710377558
"IsOAD1:Holiday1",-0.2403721667301,0.132534790360522,-1.81365335151802,0.0697706170164238
"TrafficType1:TimeOfDay1",-0.465163904864915,0.0264454422197945,-17.5895680245701,6.52194856438091e-68
"TrafficType1:TimeOfDay2",-0.25662850762805,0.0250028351717347,-10.2639762997024,1.48155749459105e-24
"TimeOfDay1:AQI_Cat1",-0.0204480348824245,0.0181400996140326,-1.12722836795265,0.259681601828102
"TimeOfDay2:AQI_Cat1",0.0113142273097619,0.0188948992307946,0.598797970370868,0.549325500198395
"TimeOfDay1:AQI_Cat2",0.0172480760090311,0.0134822587511672,1.27931649491135,0.200824764694125
"TimeOfDay2:AQI_Cat2",-0.0158318202362279,0.0140518729956561,-1.12666975008399,0.259917784060326
"TrafficType1:AQI_Cat1",0.0149987224920858,0.0323204780631572,0.464062519829593,0.642616273145641
"TrafficType1:AQI_Cat2",0.0345344001113088,0.0241436807180899,1.43037014590048,0.152652009050603
