"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.193600832291763,-0.242588122676585,-0.144613541906942,8.00192758176925e-11,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.140652854550753,-0.193888655919163,-0.0874170531823432,1.38754569213553e-05,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.00398303107132487,-0.139465223960908,0.131499161818259,0.961431782908128,"Afternoon - Bic - 1"
"Ped","Afternoon","1",0.0489649466696851,-0.088217614380365,0.186147507719735,0.557135135089578,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.156597689828459,-0.210280334613342,-0.102915045043576,1.60094721621098e-06,"Midday - Bic - 0"
"Ped","Midday","0",-0.103649712087449,-0.162016936492104,-0.0452824876827933,0.0034894931021918,"Midday - Ped - 0"
"Bic","Midday","1",0.0330201113919798,-0.104137521627887,0.170177744411847,0.692111335646467,"Midday - Bic - 1"
"Ped","Midday","1",0.0859680891329898,-0.0531953305117087,0.225131508777688,0.309578441606607,"Midday - Ped - 1"
"Bic","Morning","0",0.0260196552286786,-0.0155759801747308,0.067615290632088,0.303517912204846,"Morning - Bic - 0"
"Ped","Morning","0",0.0789676329696886,0.0328745846363554,0.125060681303022,0.00483238513142192,"Morning - Ped - 0"
"Bic","Morning","1",0.215637456449117,0.0826878916102228,0.348587021288011,0.00763339639429609,"Morning - Bic - 1"
"Ped","Morning","1",0.268585434190127,0.134051819249892,0.403119049130362,0.00102411523033491,"Morning - Ped - 1"
