"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.693142189222235,0.0711876108292798,9.73683736745303,2.18288848762482e-22
"TrafficType1",0.194079968191252,0.0214885800606117,9.03177258077641,1.73848754860858e-19
"Station1",-0.847930207007236,0.0567005478797054,-14.9545328698796,1.80014369920646e-50
"Station2",1.9886100807608,0.0208323403088387,95.4578338909467,0
"Station3",1.49040716039645,0.0172270106066612,86.5157161870064,0
"Station4",-0.41372188384072,0.0209845670142308,-19.7155311119907,3.00699192353534e-86
"Station5",0.254096874125639,0.0198092125861954,12.8272071905934,1.29608086697508e-37
"Station6",0.729261658553027,0.0172459047205902,42.2860772089474,0
"Station7",0.653781222690039,0.0183832347805309,35.5639924363278,4.02529092085831e-274
"Station8",-1.29322555262779,0.0343108025513264,-37.691498200697,3.08361451505703e-307
"Station9",-0.393210123277186,0.0388304894959421,-10.1263241432555,4.41782464710614e-24
"Station10",-0.146127282151865,0.0601815670259692,-2.42810696652031,0.0151808296252105
"Station11",-0.00277852891895162,0.0301109389754502,-0.092276395671918,0.926478754556219
"Station12",-1.28276844481108,0.051018368996332,-25.1432664361204,9.01600208094367e-139
"Station13",-0.340583724509524,0.0357709330995281,-9.52124238867049,1.77301625192725e-21
"TimeOfDay1",-0.164316642769291,0.031717900896979,-5.18056485840592,2.21939323639311e-07
"TimeOfDay2",-0.172512747330043,0.0331931886366054,-5.19723336069606,2.02946980337584e-07
"IsOAD1",0.00661163359177154,0.0203744267471495,0.324506484222755,0.745555762175349
"AQI_Cat1",0.0388667268695791,0.0254010751547265,1.53012132883466,0.125992050607535
"AQI_Cat2",0.0791795347159946,0.0237150411008661,3.33878968959927,0.000841962063695732
"AQI_Cat3",0.0548645116165562,0.0249671544208074,2.19746754843766,0.0279909364835144
"AQI_Cat4",-0.0246320630021336,0.0335733622228945,-0.733678767071366,0.463147451923063
"Weekday1",-0.192946304072524,0.0107445229035981,-17.9576427733158,6.49927097801513e-72
"Weekday2",-0.232185533151368,0.0109619564620231,-21.1810304078253,3.34508433316964e-99
"Weekday3",0.556167821236947,0.00798655124930052,69.6380457441698,0
"Weekday4",0.588667527154495,0.00797324815833731,73.8303280500493,0
"Weekday5",-0.253504385083613,0.010911031229546,-23.2337695448207,7.09779295972396e-119
"Weekday6",-0.232691136071544,0.0109824006093387,-21.1876386910963,2.91027149966305e-99
"Holiday1",-0.18737367939893,0.0198116227691712,-9.45776535229118,3.2565542565166e-21
"Month1",0.165532623385155,0.0134525731418829,12.3049041725549,9.40197560696746e-35
"Month2",0.205087020350317,0.0113077939654089,18.1367843257215,2.58357249782609e-73
"Month3",0.0746161633298373,0.0114991034154707,6.48886792595067,8.71650057169031e-11
"Month4",-0.10530675511427,0.0127059889249004,-8.28796213633524,1.17593192073411e-16
"Month5",-0.176607963660238,0.0134899425245601,-13.0918247678743,4.15698692874708e-39
"Month6",-0.216678315969516,0.0137159401223507,-15.7975548184575,4.21454333205371e-56
"Month7",-0.0209116506890861,0.011827041749123,-1.76812182899725,0.0770456959133687
"Month8",0.0334657721999745,0.0109808460549272,3.0476497013596,0.00230740390145397
"Year1",-0.772024590254571,0.02265695064448,-34.0745143673012,4.93995755754777e-252
"Year2",-0.296023560462243,0.0208059613443072,-14.2278242068944,7.33138773504128e-46
"Year3",-0.202275390230368,0.0204329762801653,-9.89945798677997,4.36226226378449e-23
"Year4",0.019384743949619,0.0230952629443245,0.839338525668645,0.40128276425321
"Year5",0.16196509090853,0.0121896859367888,13.2870602038823,3.1433570950197e-40
"Year6",0.140804681076303,0.0116029434040996,12.1352553548226,7.53757715703896e-34
"Year7",0.246772621425502,0.01233849687811,20.00021751947,1.0791108805852e-88
"Year8",0.746709860402548,0.00977596835197213,76.3821888040291,0
"Year9",0.133974374097242,0.0138485626525035,9.67424399621882,4.02890170698904e-22
"Year10",-0.101803157725416,0.0215145901945972,-4.7318195143211,2.23029900757419e-06
"MeanT",0.00805158169558336,0.00136779429489854,5.88654428930821,3.96475738120097e-09
"Precip",-0.0178112050555901,0.00364791883872327,-4.88256615430178,1.04986837994938e-06
"Sunshine_Hrs",0.598761649825416,0.027588221742651,21.7035246204266,4.85181612803603e-104
"RelativeH",-0.00279453699085405,0.000456246445850088,-6.12506029640891,9.12188451790517e-10
"WindSpeed",-0.00722238643499319,0.000583788557676826,-12.3715792987353,4.11672443656131e-35
"WMO1",0.275980137217771,0.0370195972584237,7.45497405850283,9.11090845056286e-14
"WMO2",0.221264496119771,0.0378410904783493,5.84720189938412,5.02530659950421e-09
"WMO3",0.232392468635297,0.0382353610156501,6.07794623778175,1.22473668312564e-09
"WMO4",0.176447495393134,0.0354586988836845,4.97614128403121,6.50460945793939e-07
"WMO5",0.105898790298515,0.0351645964777953,3.01151729027759,0.00260055413075247
"WMO6",0.051201367320953,0.0358650489974642,1.42761180458929,0.153408906427005
"WMO7",-0.0174920245559102,0.0393861797997209,-0.444115795054441,0.656960493035513
"WMO8",0.0103698293187434,0.0363068421435039,0.285616393674678,0.775172946680314
"WMO9",-0.0807353582337849,0.0372301634925735,-2.16854696998281,0.0301210694606459
"WMO10",-0.0381512828668895,0.05485790127805,-0.6954564789768,0.486772010100535
"TimeOfDay1:IsOAD1",-0.0427706049972911,0.0108041924745251,-3.95870446570983,7.54454985148307e-05
"TimeOfDay2:IsOAD1",-0.0242690337656388,0.011485859794508,-2.11294880834633,0.0346093296353112
"TrafficType1:IsOAD1",-0.0132369944352525,0.00738428509881078,-1.79258983884361,0.0730436435888349
"IsOAD1:Holiday1",-0.0474044503051096,0.0197233917810983,-2.40346340179376,0.0162436522361583
"TrafficType1:TimeOfDay1",-0.00774320655586487,0.00571000022086303,-1.35607815347764,0.175079482760672
"TrafficType1:TimeOfDay2",0.0332199782653832,0.00617062418459484,5.38356854535364,7.33009312364285e-08
"TimeOfDay1:AQI_Cat1",-0.0192598775913815,0.0345129050551647,-0.558048578078167,0.576813326239166
"TimeOfDay2:AQI_Cat1",0.00378569862381833,0.0367435002374247,0.103030429854433,0.91793916942118
"TimeOfDay1:AQI_Cat2",0.000561118807566855,0.0328101167335898,0.0171020058271357,0.986355296444878
"TimeOfDay2:AQI_Cat2",0.0273938403038672,0.0348554760080682,0.785926443739463,0.431913731590176
"TimeOfDay1:AQI_Cat3",0.0122802534254932,0.034455040095752,0.356413848057233,0.721531932187308
"TimeOfDay2:AQI_Cat3",-0.00519551889544899,0.0367202705625815,-0.141489123469131,0.887484033959926
"TimeOfDay1:AQI_Cat4",-0.0140665031537067,0.0464064272379588,-0.303115408595834,0.76180297850432
"TimeOfDay2:AQI_Cat4",-0.0213632499240451,0.0494199058932992,-0.432280263142747,0.665539306934035
"TrafficType1:AQI_Cat1",-0.0518344141334189,0.023824622866387,-2.17566567261593,0.0295842164487869
"TrafficType1:AQI_Cat2",-0.0157146022008486,0.0226329811448756,-0.69432312518877,0.487482320348765
"TrafficType1:AQI_Cat3",-0.010051110032615,0.0238004222051247,-0.422308055965947,0.672801714683607
"TrafficType1:AQI_Cat4",0.0853735891687077,0.0318355419914749,2.68170679147129,0.00732679688735018
