"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.22242144611447,-0.365631331824782,-0.0792115604041588,0.0106295498540682,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.195532511795513,-0.334638715079022,-0.0564263085120036,0.0207741897762984,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.494164978493425,-0.84571117010366,-0.14261878688319,0.0207691787747505,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.467276044174468,-0.817497708121654,-0.117054380227282,0.0281914359286443,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.025052538595422,-0.161717106930929,0.111612029740085,0.763014328723322,"Midday - Bic - 0"
"Ped","Midday","0",0.00183639572353517,-0.139768497360993,0.143441288808064,0.982981456222978,"Midday - Ped - 0"
"Bic","Midday","1",-0.296796070974377,-0.645136878072006,0.0515447361232522,0.161076229539898,"Midday - Bic - 1"
"Ped","Midday","1",-0.26990713665542,-0.620542394483352,0.0807281211725127,0.205458464744901,"Midday - Ped - 1"
"Bic","Morning","0",0.00233113272146418,-0.109530779401468,0.114193044844397,0.972655685521844,"Morning - Bic - 0"
"Ped","Morning","0",0.0292200670404213,-0.0882198921222492,0.146660026203092,0.682353518084746,"Morning - Ped - 0"
"Bic","Morning","1",-0.269412399657491,-0.607787972600064,0.0689631732850827,0.190323874103681,"Morning - Bic - 1"
"Ped","Morning","1",-0.242523465338534,-0.583120161775872,0.0980732310988051,0.2415080706892,"Morning - Ped - 1"
