"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.36938134535329,0.129131873506669,18.3485399925753,6.19751667976265e-75
"TrafficType1",-0.0531437811312876,0.0448372802821092,-1.18525880242769,0.235921123708082
"Station1",0.557777479434455,0.0768595740291636,7.25709824026362,4.01573003082616e-13
"Station2",-0.0249176535085231,0.0786552333435134,-0.316795875484845,0.751399899683324
"Station3",-0.288566023035402,0.0795971621904504,-3.62533054061596,0.000288896475498325
"Station4",-0.648632932616514,0.0829000595378863,-7.82427583565343,5.21185383561884e-15
"Station5",-1.61924567132026,0.227439192664912,-7.11946631689775,1.09892647419906e-12
"Station6",0.913474742060306,0.0834974487108597,10.9401515395224,8.00258800089321e-28
"Station7",-0.497831089826914,0.0758912687998739,-6.55979400133235,5.44392671060216e-11
"Station8",-1.64705390489447,0.0733206023009466,-22.4637257906595,3.62070164278193e-111
"Station9",-0.453681701570356,0.0759708733955114,-5.97178472871368,2.36351098016957e-09
"Station10",-1.36313175025875,0.164777275854116,-8.27257122192981,1.34498026033936e-16
"Station11",0.0518690570456916,0.091452129147544,0.567171672537102,0.570600257986267
"Station12",0.902412459778774,0.0930760832173568,9.69542796156781,3.30779432621809e-22
"Station13",1.15376230653579,0.0867256633702096,13.3035858326119,2.60965370557897e-40
"Station14",1.17035329815994,0.0857872553997557,13.6425077676896,2.69349628436706e-42
"Station15",0.0853047605786542,0.110154368896997,0.774411050899133,0.438691642368456
"Station16",0.574502783461181,0.0950145832565861,6.04646953941524,1.49166267302058e-09
"TimeOfDay1",-0.17902706887764,0.0698361874823868,-2.56352867090278,0.0103644931559567
"TimeOfDay2",0.0255959136251675,0.0691049060056078,0.370392134287693,0.711092001141141
"IsOAD1",-0.102070791513071,0.0512120538206925,-1.99310091859328,0.0462561631774442
"AQI_Cat1",-0.0231336258727198,0.0460418541728734,-0.50244774647563,0.615354951846725
"AQI_Cat2",0.0100595073641231,0.0452512128210674,0.222303596677077,0.82407851739423
"AQI_Cat3",0.00187265448841718,0.0531661020417149,0.0352227155368259,0.971902298522099
"Weekday1",-0.2322144936118,0.0193438171896627,-12.0045847898054,3.75855765378879e-33
"Weekday2",-0.07464427818032,0.0185320410052017,-4.02784982827139,5.63775627546912e-05
"Weekday3",0.458460094279436,0.0146935002666678,31.2015575566737,1.47375776435112e-211
"Weekday4",0.422682463902866,0.0149204585771293,28.3290531398796,4.51038105825197e-175
"Weekday5",-0.218798619091924,0.0194672306070389,-11.239329492137,2.84826210423062e-29
"Weekday6",-0.135508051267043,0.0187469951108354,-7.22825447309804,4.96658012703295e-13
"Holiday1",-0.080445144558968,0.0507945858729286,-1.58373462794274,0.113260842783529
"Month1",-0.0024530654016974,0.0216958734838813,-0.113065989415908,0.909978720982991
"Month2",0.212457608918863,0.0165431277426926,12.8426505690684,1.09443530446634e-37
"Month3",0.0262715907274378,0.0183320463800062,1.4330964575832,0.151836918687152
"Month4",0.00656258376297122,0.0198902390428,0.329939914188553,0.741446832513901
"Month5",-0.0666554642955083,0.0205869792534244,-3.23774865049329,0.00120560344044661
"Month6",-0.0754842146264788,0.0188802847790483,-3.99804428322207,6.39653977128241e-05
"Year1",0.13839850154546,0.0521046118248914,2.65616606089644,0.00790613348017866
"Year2",-0.0353913590999492,0.0450685178310733,-0.785278966408519,0.432293979763644
"Year3",0.157532014968895,0.0357686303909963,4.40419477197957,1.06411487350919e-05
"Year4",0.0814359747816195,0.0361950190044867,2.24992214457809,0.0244584897875321
"Year5",0.0113755037689057,0.0392627779963651,0.289727430136474,0.7720260465333
"Year6",0.0637526659665004,0.0434600068979892,1.46692719391745,0.142402546333782
"Year7",0.47114408110665,0.0404839282046301,11.6378054699931,2.92209335374979e-31
"Year8",0.351427851768417,0.040224035372872,8.73676269699752,2.4762018425155e-18
"Year9",-0.545521366539925,0.120009750258765,-4.54564204461448,5.49042537822973e-06
"MeanT",-0.0126224176445932,0.00258884224457207,-4.87569981178195,1.08776408030112e-06
"Precip",-0.0503573583573495,0.0131266954680924,-3.83625555112139,0.000125087385810272
"Sunshine_Hrs",0.673609695157019,0.0430211934807292,15.6576245486717,4.06196704803158e-55
"RelativeH",0.00259466992027784,0.000679813251761375,3.81673924942642,0.000135399994993572
"WindSpeed",-0.00365943275719809,0.00133570656947203,-2.73969810498466,0.00615188117338985
"WMO1",0.0131113324535589,0.0347528077363266,0.377274047985879,0.705971658128858
"WMO2",-0.0141354882136242,0.0352313958755524,-0.401218511567209,0.688261075069615
"WMO3",-0.0174084938642942,0.0358171162884081,-0.486038399186489,0.62694220464528
"WMO4",-0.0493890459199908,0.0310118054523107,-1.59258853844998,0.111259244657764
"WMO5",-0.0378334974153225,0.0280374251406272,-1.3493927215342,0.1772173509349
"WMO6",-0.114196570509897,0.0316468818494854,-3.60846199802633,0.000308336872159731
"WMO7",0.0476510157320338,0.0494544644911422,0.963533145537722,0.335284991150804
"WMO8",-0.0796831673915727,0.0369744612088194,-2.15508664052057,0.0311601123717938
"WMO9",-0.20929648081314,0.0480859519427082,-4.35254939036052,1.34846999740601e-05
"TimeOfDay1:IsOAD1",-0.0703535810591638,0.0297030410225772,-2.3685649225508,0.0178612625199397
"TimeOfDay2:IsOAD1",0.0283308727003603,0.0293561339102247,0.965075060190153,0.334512178199838
"TrafficType1:IsOAD1",-0.00672223357973929,0.0193929849440424,-0.346632228052361,0.72886918114248
"IsOAD1:Holiday1",0.0679358830947387,0.0505608174708637,1.34364684933917,0.179069092537248
"TrafficType1:TimeOfDay1",-0.0960739142439953,0.010309650785619,-9.31883302759487,1.22542702457609e-20
"TrafficType1:TimeOfDay2",0.0467587776871174,0.0105749554875707,4.42165243551857,9.81680516803185e-06
"TimeOfDay1:AQI_Cat1",0.0197908468393483,0.066230669452675,0.298816952975084,0.765081034832673
"TimeOfDay2:AQI_Cat1",0.0185823894920448,0.0671270174528347,0.276824298131543,0.781916238935337
"TimeOfDay1:AQI_Cat2",-0.0192950519276994,0.0654649270083871,-0.294738767908921,0.768194745981116
"TimeOfDay2:AQI_Cat2",0.00295793970159455,0.0663110726686617,0.0446070253813352,0.964420732108661
"TimeOfDay1:AQI_Cat3",0.0967964912155157,0.0764632261246418,1.26592214481938,0.205547225867878
"TimeOfDay2:AQI_Cat3",-0.0187198875501956,0.0780421926737055,-0.239868805691602,0.810433009429446
"TrafficType1:AQI_Cat1",-0.0468128416607452,0.0435663440134498,-1.07451847798597,0.282595878419136
"TrafficType1:AQI_Cat2",0.0731734217508646,0.0430161172240447,1.70106988898484,0.0889364726044116
"TrafficType1:AQI_Cat3",0.0143405353594276,0.0507824459817253,0.282391583985304,0.777644509778936
