"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.35754038340998,0.065121458721034,82.2699688955141,0
"TrafficTypePed",0.936219738366537,0.00933253079285128,100.317883663848,0
"StationAU0004",-1.16627202595053,0.0307970268561468,-37.8696304483611,2.74663210643516e-309
"StationAU0005",-0.473815278205412,0.0734312543863137,-6.45250148816365,1.11054395170145e-10
"StationAU0006",-0.436037077855877,0.0293425479853114,-14.8602322495699,7.69282848010698e-50
"StationAU0007",0.158568387107303,0.0322115466986934,4.92271881852028,8.56301786122902e-07
"StationAU0008",0.831910300308419,0.0263790764030738,31.5367485804576,4.24117055080437e-216
"StationAU0009",-1.19544174480765,0.0378797309190028,-31.558876364878,2.13854979732392e-216
"StationAU0011",-0.549466438653811,0.0315610459989145,-17.4096396764768,1.12156647530409e-67
"StationAU0012",-0.629527679585252,0.042121030781135,-14.9456855141162,2.1531644757618e-50
"StationAU0013",-1.77681968868528,0.0324755579203633,-54.7125223542704,0
"StationAU0014",0.316093263633575,0.0269925013092989,11.7104102362192,1.24378254900812e-31
"StationAU0015",-0.88023627041117,0.0341910692540656,-25.7446254128628,3.52712119909055e-145
"StationAU0016",-2.09149222382762,0.0380244856024267,-55.0038268944825,0
"StationAU0017",-1.21686516672078,0.0364003981306856,-33.4299960772946,2.91099286955016e-242
"StationAU0019",0.424346255473135,0.0268120481687418,15.8267004744475,2.81920749227033e-56
"StationAU0020",-0.471400928592582,0.028671429061285,-16.4414870143015,1.4094573325944e-60
"StationAU0037",0.578410993894563,0.027010852022236,21.4140225350315,2.92217197389838e-101
"StationAU0038",-1.32508286031336,0.0405147290846004,-32.7062006892951,4.34914951503011e-232
"StationAU0039",-1.25059641873571,0.0551952531599947,-22.6576806362423,4.5489212653335e-113
"StationAU0040",-1.50949537862864,0.0584504310601165,-25.8252223508175,4.52651333042516e-146
"StationAU0041",-1.16770339782304,0.0325794888062396,-35.841673415066,1.08560302574381e-277
"StationAU0042",-1.25275714238753,0.0555997425016042,-22.5317076306852,7.64788729253568e-112
"StationAU0043",-1.35451703259744,0.0549151077737747,-24.6656537246076,1.67350153483589e-133
"StationAU0044",-0.981732269113176,0.0476902230665427,-20.5856086632967,9.32449833991489e-94
"StationAU0045",-2.561037589164,0.055578210908084,-46.0798853960859,0
"StationAU0046",-0.320660370548573,0.0288649081750892,-11.109003659513,1.22834212079369e-28
"StationAU0047",-0.925432514921145,0.0651079519048893,-14.2138170199706,9.29916265489283e-46
"StationAU0048",0.375740306968212,0.0323905964254123,11.6002898505883,4.51473231999616e-31
"StationAU0072",-1.96537802770321,0.0389539931063835,-50.4538269628931,0
"StationAU0073",-1.20069035918367,0.0324443017606086,-37.0077423161395,1.16965611968719e-295
"StationAU0099",-3.38065563331075,0.0991805654417635,-34.0858677126195,1.15145098730647e-251
"IsOAD1",0.0269524978865585,0.123050045622016,0.219036878453105,0.826622243428235
"AQI_CatModerate",0.083033709601069,0.00964070781495427,8.61282295811004,7.33907871941646e-18
"AQI_CatUnhealthy for Sensitive Groups",0.188701167236027,0.0364034313473082,5.18360935362705,2.18504608010942e-07
"AQI_CatUnhealthy",0.145292977062191,0.175910090578775,0.8259502145906,0.408836402771461
"WeekdayMonday",-0.0610011091303101,0.0113339346235167,-5.38216525475094,7.39363224280198e-08
"WeekdaySaturday",0.457005435060238,0.0100490329792834,45.4775535121021,0
"WeekdaySunday",0.426177794192189,0.0101115559181631,42.1475980196737,0
"WeekdayThursday",-0.0709454876306284,0.0113024860055637,-6.27698079835758,3.48126840368169e-10
"WeekdayTuesday",-0.0659753169829196,0.0113547009326258,-5.81039671360702,6.27141871157755e-09
"WeekdayWednesday",-0.0738078283763287,0.0113385227928796,-6.50947479884053,7.61488092386314e-11
"Holiday1",0.212106834160164,0.0168163469023312,12.6131338388815,2.03964998927562e-36
"Month5",-0.0563329078050315,0.0107261783471618,-5.25190855323949,1.51165769275149e-07
"Month6",-0.158794441783113,0.0125678184192182,-12.635004460304,1.5463261598963e-36
"Month7",-0.276723728377607,0.0138530806515533,-19.9756094213296,2.04166483534975e-88
"Month8",-0.303046798454076,0.0143270363487954,-21.1520925246731,7.40612008173868e-99
"Month9",-0.157205362723457,0.0124808607380892,-12.5957148326875,2.54206675272806e-36
"Month10",-0.0884863409404535,0.0102623615874876,-8.62241504414936,6.75035909855636e-18
"Year2012",0.241599115105958,0.0518643257998599,4.65829086525232,3.19691660448949e-06
"Year2013",0.259959595191969,0.0518638767717187,5.01234407015491,5.39601590218779e-07
"Year2014",0.435283000080184,0.0553452440875459,7.86486729359522,3.77092140004789e-15
"Year2015",0.705977185810623,0.0432309884276275,16.3303503224889,8.67925787680576e-60
"Year2016",0.724336317714415,0.0426536179361725,16.9818259918378,1.72194164056502e-64
"Year2017",0.77082207682549,0.042387956276612,18.1849313940809,1.19582412465319e-73
"Year2018",0.73220775222327,0.0421805305684914,17.3589033223358,2.70243244348103e-67
"Year2019",0.433084891125459,0.042542710449083,10.1800023212859,2.57693701147242e-24
"Year2020",0.470399428293945,0.0426273545279264,11.0351541516791,2.79495713171227e-28
"Year2021",0.632899068695668,0.0421184720309656,15.0266388635931,6.40202272127199e-51
"Year2022",0.631643638118643,0.0422149042290029,14.9625742295226,1.67268335806172e-50
"Year2023",0.58593111089641,0.0422585699409107,13.8653795364042,1.24449675222084e-43
"MeanT",-0.0132575666740812,0.00090797187347493,-14.6012966495787,3.48951575279649e-48
"Precip",-0.0276512237146997,0.0027971292290264,-9.88557247472056,5.0559806979565e-23
"Sunshine_Hrs",0.661669711186243,0.0329513308548164,20.0802120588561,2.54322728610863e-89
"RelativeH",-0.00110717896881197,0.000300432130772456,-3.68528814133576,0.000228692962122576
"WindSpeed",-0.00626088092485837,0.000532616297923091,-11.7549555829822,7.35848853567932e-32
"WMO1",-0.0824511278886337,0.0155071064735631,-5.31698986069377,1.05964426302542e-07
"WMO2",-0.0705145327351267,0.015461420000915,-4.56067636290545,5.11138723753835e-06
"WMO3",-0.0515330517560885,0.0115665471643161,-4.45535309924407,8.39426147712274e-06
"WMO51",-0.0633811606971065,0.0124716666128857,-5.08201210507191,3.74843766124745e-07
"WMO53",-0.0894451003095914,0.0149649209989805,-5.97698446357886,2.28891038953552e-09
"WMO55",-0.098100910489984,0.0194449277291759,-5.04506428906855,4.55004871244653e-07
"WMO61",-0.119064302969879,0.0176370048872679,-6.75082326794792,1.48661518688253e-11
"WMO63",-0.135599857050662,0.0199211234711235,-6.80683783960375,1.00926153300047e-11
"WMO65",-0.0060533074398963,0.0379736641471721,-0.15940804175325,0.873348068294773
"TrafficTypePed:IsOAD1",0.132047494021083,0.0312375049557795,4.2272100223117,2.37039929630869e-05
"IsOAD1:AQI_CatModerate",-0.121576342730703,0.122345134895573,-0.99371620158394,0.320366017780793
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-0.1250865816529,0.127487461702272,-0.981167716281159,0.326514943068917
"IsOAD1:AQI_CatUnhealthy",0.0256642049383163,0.567589809239012,0.0452161129755399,0.963935237519609
"IsOAD1:Holiday1",-0.103361470816169,0.0720916578751917,-1.433750781472,0.151649851259008
"TrafficTypePed:AQI_CatModerate",-0.10481333134791,0.0118257995012826,-8.8631074234383,8.03952652366023e-19
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.30046786062807,0.0430319149453162,-6.98244224106447,2.93817911712405e-12
