"","2.5 %","97.5 %"
"IsOAD1",0.0199519753421958,0.276760782160008
"IsOAD1:AQI_CatModerate",-0.286525444531329,-0.0289561958477505
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-0.307518794262685,-0.0486286297773338
"IsOAD1:AQI_CatUnhealthy",-0.235235891483657,0.0798188594341102
"IsOAD1:AQI_CatVery Unhealthy",NA,NA
"IsOAD1:Holiday1",-0.207035559354952,-0.066910117444742
"TrafficTypePed:IsOAD1",-0.0840848309262837,-0.0232568182353021
"TrafficTypePed",0.428787964251506,0.461969987240022
"AQI_CatModerate",0.117975081521002,0.149319365715502
"AQI_CatUnhealthy for Sensitive Groups",0.0867339360971578,0.142183463221207
"AQI_CatUnhealthy",-0.147085336671707,0.0440317705953022
"AQI_CatVery Unhealthy",-0.802668682309029,0.0288463802484402
"TrafficTypePed:AQI_CatModerate",-0.176769968632724,-0.13762613050074
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.219562269421837,-0.153578844764399
"TrafficTypePed:AQI_CatUnhealthy",-0.225730848505536,-0.0623021204727236
"TrafficTypePed:AQI_CatVery Unhealthy",-0.588500455673398,0.496428874376844
