"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.06191573665203,0.231016508865948,8.92540427856822,8.39901145071205e-19
"TrafficTypePed",-0.110208029981905,0.086696312901852,-1.27119627459441,0.203777138757707
"StationEP0016",-0.270112086726269,0.0799723012712079,-3.37757051419897,0.000742492495936823
"StationEP0034",4.04653418974717,0.050626216490789,79.929618885966,0
"StationEP0036",4.10267863224108,0.0509443632300744,80.5325333778853,0
"StationEP0038",0.611827909907503,0.0523215222975339,11.6936182863384,8.57889631316982e-31
"IsOAD1",0.553760441915058,0.727403946768393,0.761283251727223,0.446559732756629
"AQI_CatModerate",0.0351865333677811,0.0842925760940588,0.417433361254944,0.676397316303467
"AQI_CatUnhealthy for Sensitive Groups",-0.116083344538264,0.141998121135338,-0.817499158510876,0.413721162509821
"WeekdayMonday",-0.136888664889907,0.0226141439750006,-6.05323221790905,1.63336661684473e-09
"WeekdaySaturday",-0.298490770419215,0.0222234683531329,-13.431331494984,9.17106714623052e-40
"WeekdaySunday",-0.762701055477483,0.025856583952164,-29.4973634911912,2.38616177154934e-164
"WeekdayThursday",-0.10693350247596,0.0211804691470109,-5.04868432015117,4.76907352288023e-07
"WeekdayTuesday",-0.0912434125244911,0.0214908418935091,-4.24568813900442,2.25883657641906e-05
"WeekdayWednesday",-0.0770307244009287,0.0210735218978761,-3.65533225885191,0.000262142992965061
"Holiday1",-0.292183734724107,0.0398698007888377,-7.3284473196041,3.12734334849673e-13
"Month6",-0.0452463052729927,0.0242723348832599,-1.8641101274603,0.0624234161297087
"Month7",-0.170515057084463,0.0286291992468972,-5.95598415498624,2.94894042459838e-09
"Month8",-0.231986739668589,0.0301254589915599,-7.70068730682522,1.93587469079958e-14
"Month9",-0.0906294697736051,0.0261218833006585,-3.46948452109962,0.000530288913558818
"Month10",-0.0168345034039112,0.0274909349930942,-0.612365618271625,0.540351598378861
"Year2020",0.235357897001629,0.166296828794498,1.41528794450118,0.157108689956657
"Year2022",0.231858414119072,0.12002419174119,1.93176401153388,0.0535015704544076
"Year2023",0.169851251343306,0.12024734816128,1.41251556845558,0.157922730049665
"MeanT",-0.0021329942779077,0.0021498550790376,-0.992157238274195,0.321216883662552
"Precip",-0.0166895884173641,0.0243705341411412,-0.684826533579728,0.493516899571135
"Sunshine_Hrs",0.33342917383717,0.181978292715722,1.83224696122431,0.0670335761680045
"RelativeH",0.000387088493798514,0.000446148614534264,0.867622315049879,0.385684430682757
"WindSpeed",-0.000805394354463639,0.00110465279594447,-0.729092758756868,0.466013247415492
"WMO1",0.0364780221203466,0.0230513997704428,1.58246451337501,0.113670108378087
"WMO2",-0.0440215533110988,0.0254485887755922,-1.72982296579526,0.0837853823030121
"WMO3",-0.0210705848418768,0.0180781054965293,-1.16553058316437,0.243915521056254
"WMO51",-0.0523343037652758,0.0269079709928119,-1.9449368285426,0.0518946134094126
"WMO53",-0.0306857778489322,0.0486105964858138,-0.631256970028899,0.527930249381752
"WMO55",-0.138493741707486,0.0850787576716488,-1.62782985433315,0.10368702713919
"WMO61",0.0155398965299729,0.054527682827404,0.28499095733008,0.775674685398787
"WMO63",-0.070656565469428,0.111675653613424,-0.63269444308795,0.526991085500198
"WMO65",0.0284088599723349,0.224846461141594,0.126347818987664,0.899466769598377
"TrafficTypePed:IsOAD1",0.0238257226090699,0.0987070720614547,0.241378070603047,0.809281910464533
"IsOAD1:AQI_CatModerate",-0.469990238982841,0.726981312784994,-0.646495626115003,0.518017796926129
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-0.413007440488661,0.728078183085598,-0.567256992564086,0.570590542704059
"IsOAD1:Holiday1",0.956048702740974,0.569693249731895,1.67818155330242,0.0934366973202356
"TrafficTypePed:AQI_CatModerate",-0.0390781719161094,0.0853658222229028,-0.457773039590371,0.647155304983674
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",0.137785227315864,0.142678894223529,0.965701536066024,0.334286993192179
