"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.34043068646646,0.141078976705717,9.50127877141131,2.3045298657362e-21
"TrafficTypePed",-0.300142089596545,0.0242294686384128,-12.3874812970808,4.13265491490667e-35
"StationHO0001",2.82150015459798,0.0842390283260944,33.4939779181187,3.08144302560386e-239
"StationHO0002",2.31832581981872,0.0825340702966065,28.0893188896082,3.04397415791587e-170
"StationHO0003",0.418274224952526,0.0821128856645808,5.09389265237998,3.54033569455296e-07
"StationHO0004",1.08293616110762,0.0835921330364235,12.9550009285653,3.15810281931353e-38
"StationHO0005",1.55861443564661,0.0821206921553046,18.9795579498892,1.29960299399087e-79
"StationHO0006",1.48515987716041,0.0828623549015623,17.9232159033464,2.87428474986729e-71
"StationHO0007",-0.461853167564684,0.0903007817872395,-5.11460873786089,3.17349256494573e-07
"StationHO0008",0.436830650785213,0.0953299554688199,4.58230205434314,4.62715406525747e-06
"StationHO0063",0.672067493620025,0.109003631936974,6.16555138280725,7.16092162082567e-10
"StationHO0089",0.833344620716175,0.0826285998961628,10.0854258908346,7.32666506508269e-24
"StationHO0090",-0.44826116537877,0.100211334068927,-4.47315834624505,7.75051080844122e-06
"StationHO0104",0.496603763525793,0.0865103362616846,5.74039802623838,9.58473006633245e-09
"StationWB0001",0.44237471979813,0.0874070224279681,5.06108900074579,4.20633142416659e-07
"IsOAD1",-0.00979912425209676,0.101415824942855,-0.0966232267756865,0.923026596782923
"AQI_CatModerate",0.0868325368584619,0.0186164527939982,4.66429012118013,3.11724698053512e-06
"AQI_CatUnhealthy for Sensitive Groups",0.103993958035495,0.0355273455227018,2.9271524935361,0.00342473530295189
"AQI_CatUnhealthy",0.0501723409891273,0.10044770852134,0.499487163298186,0.617441825262421
"AQI_CatVery Unhealthy",-0.225315942960217,0.192962202944111,-1.16766879483376,0.242954569629022
"WeekdayMonday",-0.0305314841520392,0.0214074761830518,-1.42620661543516,0.153824611698847
"WeekdaySaturday",0.756621163626018,0.0182343359528698,41.4943086264096,0
"WeekdaySunday",0.785138322970766,0.0182130841947554,43.1084771022391,0
"WeekdayThursday",-0.0503275195406387,0.0213117535442674,-2.36149125111181,0.0182113107805985
"WeekdayTuesday",-0.027445436879288,0.0214511120770582,-1.27944121408235,0.200756849023894
"WeekdayWednesday",-0.0342289290661619,0.0214255290750638,-1.59757684145123,0.110153277812535
"Holiday1",0.28258243213322,0.0273719675860625,10.3237895209662,6.37080845703813e-25
"Month4",0.055522187647582,0.0205747725373584,2.69855657197513,0.00697004617536279
"Month5",-0.077096882901583,0.02401063563111,-3.21094718549185,0.00132511254101136
"Month6",-0.248434802559791,0.0275010404795896,-9.0336510265556,1.81063683908287e-19
"Month7",-0.329965248284604,0.0289205471221445,-11.4093708839951,4.6694597008898e-30
"Month8",-0.370706492435083,0.0298918162503159,-12.4016048182139,3.469839626984e-35
"Month9",-0.178226107779319,0.0261664377923468,-6.81124840888533,9.95560291955645e-12
"Month10",-0.115945544735924,0.0223364362886531,-5.19087034464958,2.11398624981465e-07
"Month11",-0.0985419375239098,0.0210775030202287,-4.67521875951513,2.95592710284522e-06
"Year2014",0.453853528872054,0.0401383618203493,11.3072260124468,1.49163928885945e-29
"Year2015",0.55727853185061,0.0397487128864852,14.0200396788216,1.92591677562067e-44
"Year2016",0.787150089004836,0.0425376100676706,18.5048028733303,8.33580295166346e-76
"Year2017",0.919959206573737,0.0339993403718467,27.0581486732465,2.43711889673736e-158
"Year2018",0.896305687073523,0.0340621711998803,26.3138154586186,5.28464562466506e-150
"Year2019",0.990656171446096,0.0341027100250178,29.0491920061294,1.0848505179264e-181
"Year2020",1.49215679235473,0.0327369257977566,45.5802356511124,0
"Year2021",0.88121570040083,0.0361334691541699,24.387796716694,1.9352943311092e-129
"Year2022",0.64744381901567,0.0446060481587112,14.5147092320759,1.72285703268337e-47
"Year2023",0.667197772048266,0.0520211710665516,12.8255046622212,1.66939408195794e-37
"MeanT",0.0111423446482884,0.00187353489507749,5.94723091497454,2.77337242215989e-09
"Precip",-0.0140187731762454,0.00252695026267198,-5.54770443381108,2.93180028471262e-08
"Sunshine_Hrs",0.882353619120168,0.0781454365773142,11.2911726873162,1.78869010525082e-29
"RelativeH",-0.00128124898640034,0.000837020725322049,-1.53072552164987,0.125853355757592
"WindSpeed",-0.00655804340028856,0.000827045917311911,-7.92947920183647,2.31772484333487e-15
"WMO1",0.0201756938260455,0.0381135674612821,0.52935726487795,0.596563623154251
"WMO2",-0.0208290826858904,0.0363491041627748,-0.573028776517181,0.566631772931082
"WMO3",-0.102859635233048,0.0261406056867424,-3.93486044147841,8.35316625166117e-05
"WMO51",-0.213157861859583,0.0277172516823974,-7.69044002998877,1.53524166139388e-14
"WMO53",-0.252570099084188,0.029885101838219,-8.45137153794755,3.07731549735181e-17
"WMO55",-0.298905509612966,0.0371641086789506,-8.04285425476281,9.27139897889146e-16
"WMO61",-0.250281302961744,0.0308102198578498,-8.12332090184606,4.80200978914059e-16
"WMO63",-0.317452852752516,0.0317937879279334,-9.98474461338432,2.02165415298478e-23
"WMO65",-0.342079310342801,0.046347812344745,-7.38070025394815,1.63736706274575e-13
"WMO73",-0.969513561834535,0.344447838577054,-2.81468905666438,0.00488730447969297
"TrafficTypePed:IsOAD1",0.0549527621696121,0.037516027051477,1.46478096132646,0.142996700979263
"IsOAD1:AQI_CatModerate",-0.0605357714337667,0.102943225836486,-0.588050072667444,0.556505447927691
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-0.0970582612532137,0.105614596763958,-0.91898529395641,0.358114554906051
"IsOAD1:Holiday1",0.144100636661955,0.101091002160737,1.42545462585118,0.154041725747208
"TrafficTypePed:AQI_CatModerate",-0.0725009822749284,0.0270476272184768,-2.68049325322709,0.00735751252552258
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.0823843706784988,0.0469512258223877,-1.75467986693577,0.0793296801387893
"TrafficTypePed:AQI_CatUnhealthy",-0.269911176158476,0.0854578562419823,-3.15841267295772,0.00158871170432975
"TrafficTypePed:AQI_CatVery Unhealthy",-0.0893664761049026,0.262375321004622,-0.340605495069898,0.733404236626955
