"","2.5 %","97.5 %"
"IsOAD1",-0.204822479339579,0.193044810803114
"IsOAD1:AQI_CatModerate",-0.266234315654338,0.137616706269743
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-0.30777105947081,0.106545396209635
"IsOAD1:AQI_CatUnhealthy",NA,NA
"IsOAD1:AQI_CatVery Unhealthy",NA,NA
"IsOAD1:Holiday1",-0.0591611956500647,0.337476048319606
"TrafficTypePed:IsOAD1",-0.0186621245418104,0.128408393401687
"TrafficTypePed",-0.347688839550208,-0.25270659292218
"AQI_CatModerate",0.0504532721041901,0.123430178773527
"AQI_CatUnhealthy for Sensitive Groups",0.0340309471112878,0.173304307413283
"AQI_CatUnhealthy",-0.151338810139525,0.242664693929457
"AQI_CatVery Unhealthy",-0.617384718292637,0.140518468656467
"TrafficTypePed:AQI_CatModerate",-0.125473780008231,-0.0194456900343961
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.174492934143849,0.00956198917472502
"TrafficTypePed:AQI_CatUnhealthy",-0.438096540410448,-0.103002621927816
"TrafficTypePed:AQI_CatVery Unhealthy",-0.615071286815492,0.418735441657259
