"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.81181684459473,0.235356254058656,20.4448225259207,1.05850399010058e-91
"TrafficTypePed",0.236021075224779,0.0390657982158438,6.04162940485001,1.56031554724196e-09
"StationSA0002",-0.588608299745777,0.0526938442546798,-11.1703427235431,7.32882720836288e-29
"StationSA0003",-0.846422669601782,0.0552696123467827,-15.3144310890223,1.47628681260618e-52
"StationSA0004",-1.20876987592264,0.0678858932074507,-17.8059066296556,3.14589719792367e-70
"StationSA0012",-2.20035550643233,0.433042022828182,-5.08115931119546,3.79469758746404e-07
"StationSA0017",0.103059255064736,0.0851761000632305,1.2099550811581,0.226314455299876
"StationSA0019",-1.05536676665371,0.0473692956011257,-22.279553733297,2.82690024780668e-108
"StationSA0021",-2.19620638685621,0.0698093541649544,-31.460058800526,1.09238705306983e-210
"StationSA0023",-1.01110928652151,0.0484086268667857,-20.8869648235211,1.42277374170152e-95
"StationSA0024",-1.99578298325805,0.252932668417038,-7.89057022862457,3.20660074168136e-15
"StationSA0029",-0.500321882960586,0.252213497514886,-1.98372366225585,0.0473041464914017
"StationSA0095",0.353811251085591,0.251618407914213,1.40614215795459,0.159701824742385
"StationSA0096",0.624987217547075,0.244969641256613,2.55128437279451,0.0107421241485026
"StationSA0097",0.61584021499361,0.244186229966504,2.52201041425672,0.0116784907804212
"StationSA0098",-0.451573814079994,0.273343154694282,-1.65203995902166,0.0985465217524609
"StationSA0099",0.0205691708772438,0.256880332251911,0.0800729689849222,0.93618024798344
"StationSA0100",0.579959896958807,0.24396786931,2.37719786051775,0.0174567077846593
"IsOAD1",-0.222129243399445,0.989349829939081,-0.224520424098241,0.822355315583972
"AQI_CatModerate",0.219920674214739,0.0371808242842756,5.91489506884729,3.39027718646775e-09
"AQI_CatUnhealthy for Sensitive Groups",0.115773257604533,0.10524741410121,1.10001047145159,0.271344526020505
"AQI_CatUnhealthy",0.186110373889496,0.397033746583774,0.46875202798467,0.639253440395143
"WeekdayMonday",0.141279065463631,0.0462848648426018,3.05238150622392,0.00227415103077637
"WeekdaySaturday",0.666711129585705,0.0413978867863885,16.1049556231194,6.89251760412809e-58
"WeekdaySunday",0.651522333095073,0.0416895202730014,15.6279642660462,1.21829139061849e-54
"WeekdayThursday",-0.00845239448526136,0.0480328565715607,-0.175971097464685,0.860318932042255
"WeekdayTuesday",0.0888641261889187,0.0467125231285667,1.90236194145065,0.0571422418538946
"WeekdayWednesday",0.019298046331157,0.0476554505829536,0.404949404424683,0.685520252119407
"Holiday1",0.313649702176474,0.0649016880627177,4.83268943441623,1.35981743559992e-06
"Month5",0.151094559834221,0.0415904299569239,3.63291651446529,0.000281134328861025
"Month6",-0.00478942707511718,0.0499879579473048,-0.0958116168731276,0.92367142100685
"Month7",-0.0641902719456133,0.0549261149884736,-1.16866579693619,0.242556157597695
"Month8",-0.131374835047985,0.0557996927844479,-2.35440068739233,0.0185649198497002
"Month9",-0.0684086006695151,0.0503209482899497,-1.35944577743933,0.174025014396677
"Month10",-0.0690059259401074,0.0445717715272853,-1.54819796421743,0.12159491746158
"Year2015",-0.157914545780322,0.0821519166540306,-1.9222259469046,0.0545955159063641
"Year2016",0.0578165367273448,0.0760931060792927,0.759813072515362,0.447377804469074
"Year2017",-0.0515953320802912,0.0785712728403951,-0.65666916437893,0.511403347864497
"Year2018",-0.116356417013919,0.0858661105827045,-1.35509127203155,0.175408091424512
"Year2019",-0.0815688812758639,0.0942087619040763,-0.865831156542717,0.386596069835089
"Year2020",0.3664422322391,0.0889288352610137,4.12062331822474,3.7979884205077e-05
"Year2021",0.194599486156173,0.0906455081763566,2.14681885590588,0.0318230679484118
"Year2022",-0.704856832992773,0.249222615592759,-2.82822179406278,0.00468669956990254
"Year2023",-0.864552787256992,0.256901540117101,-3.36530791860147,0.000766425476007418
"MeanT",0.0020128877731489,0.00414558067379307,0.485550259791996,0.627292885911308
"Precip",-0.047371430768914,0.011639326449974,-4.06994605508464,4.72555641577201e-05
"Sunshine_Hrs",0.848981460456607,0.184380193811943,4.60451550084885,4.16690022395136e-06
"RelativeH",-0.00251505176592529,0.00127786020085052,-1.96817442491074,0.04906564564567
"WindSpeed",-0.000816102657337423,0.00226832055842258,-0.359782771578349,0.719014455967595
"WMO1",-0.00536464642878295,0.0654721378133154,-0.0819378533824493,0.934697183709032
"WMO2",-0.0512586082716429,0.0702643556880428,-0.72951082764096,0.465700194969207
"WMO3",-0.038501800865924,0.0499420918573998,-0.770928878507105,0.440760759305392
"WMO51",-0.0583430434610204,0.0524592696143836,-1.1121588975578,0.26608696758506
"WMO53",-0.10037454508866,0.0616759626144015,-1.62744999565231,0.103661746827262
"WMO55",-0.0448692729041813,0.0905155166703859,-0.495708079174686,0.620107365972011
"WMO61",-0.0616021711423529,0.0707599043764391,-0.870580192062336,0.383996805770082
"WMO63",0.00942441674594648,0.0817746370339824,0.11524865273361,0.908249518905896
"WMO65",0.659084346690114,0.151050027480822,4.36335138551228,1.28907334244932e-05
"TrafficTypePed:IsOAD1",0.021353802859742,0.123456122937265,0.172966737912165,0.86267981579459
"IsOAD1:AQI_CatModerate",0.154559989700334,0.989924957404351,0.156133036695631,0.875930177547674
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",0.206871714696685,0.994607504774436,0.207993317669166,0.8352368989608
"IsOAD1:Holiday1",-0.27368963563718,0.323883329151244,-0.845025387241761,0.398109618436616
"TrafficTypePed:AQI_CatModerate",-0.301201320609245,0.048272681471265,-6.23958130000587,4.50062813437463e-10
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.176791705230811,0.132581119798586,-1.33346064280788,0.182400144184902
"TrafficTypePed:AQI_CatUnhealthy",-0.0797060917682847,0.522964713900846,-0.152411988131568,0.878863972553712
