"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.35932224775415,0.0650352080981062,82.4064749615249,0
"TrafficTypePed",0.936237503725261,0.00933226749949326,100.322617603503,0
"StationAU0004",-1.16627100175068,0.0307962025236738,-37.8706108603532,2.6476076111017e-309
"StationAU0005",-0.473909417271386,0.0734291308007754,-6.45397013560157,1.09983745066227e-10
"StationAU0006",-0.43604079817899,0.0293417158336885,-14.8607804891339,7.63029382659242e-50
"StationAU0007",0.158552230092228,0.0322106477758628,4.9223545951485,8.57896530186936e-07
"StationAU0008",0.831913324697911,0.0263783417146763,31.5377415948423,4.11160435382791e-216
"StationAU0009",-1.19543729487635,0.0378787349373834,-31.559588694092,2.09126464999203e-216
"StationAU0011",-0.54947258127084,0.0315602059060823,-17.4102977308188,1.10879546004409e-67
"StationAU0012",-0.62951947179359,0.0421198971988827,-14.9458928833827,2.14646832487659e-50
"StationAU0013",-1.77682454842813,0.0324746918780329,-54.7141310871079,0
"StationAU0014",0.316114437651501,0.0269917670413,11.7115132613517,1.22774296615839e-31
"StationAU0015",-0.880236272165504,0.0341901653019762,-25.7453061250519,3.46609753752184e-145
"StationAU0016",-2.09152327195864,0.0380234385056534,-55.0061581528895,0
"StationAU0017",-1.21687140676419,0.0363994198888882,-33.4310659477205,2.80980556161609e-242
"StationAU0019",0.424353785848816,0.02681133063857,15.8274048971801,2.78793236077039e-56
"StationAU0020",-0.471410662407088,0.0286706664037283,-16.4422638723802,1.39157005863893e-60
"StationAU0037",0.578344792552479,0.0270100983991584,21.4121690341749,3.03940814411859e-101
"StationAU0038",-1.32509320389347,0.0405136378816891,-32.7073369161048,4.19222290679417e-232
"StationAU0039",-1.25060756033668,0.0551937174356028,-22.6585129330313,4.46428933758811e-113
"StationAU0040",-1.50949377490285,0.0584488154812824,-25.8259087455118,4.44731260404879e-146
"StationAU0041",-1.16771924357392,0.0325786173172092,-35.8431185769535,1.03161593013042e-277
"StationAU0042",-1.25277165354381,0.0555981940347224,-22.5325961624117,7.49694896023282e-112
"StationAU0043",-1.35451542887168,0.0549135899070854,-24.6663063034768,1.64687331670338e-133
"StationAU0044",-0.981730311347646,0.047688904864793,-20.5861366313828,9.22381223179865e-94
"StationAU0045",-2.56105391554922,0.055576688481511,-46.0814414374692,0
"StationAU0046",-0.320669525015792,0.0288641406182481,-11.1096162278624,1.21996040616005e-28
"StationAU0047",-0.925392589589861,0.0651061411243078,-14.2135991107659,9.3279083184034e-46
"StationAU0048",0.375741477079172,0.0323897011025396,11.6006466342387,4.4959744280611e-31
"StationAU0072",-1.96538671009661,0.0389529307727704,-50.4554258461725,0
"StationAU0073",-1.20070192674162,0.0324434326930993,-37.0090901939918,1.11358522525586e-295
"StationAU0099",-3.38068469489956,0.0991778191431656,-34.0871045976466,1.10450279034784e-251
"IsOAD1",-0.093523821548641,0.0253719241262389,-3.68611466293649,0.000227952095399064
"AQI_CatModerate",0.0828430648393053,0.00963190430637626,8.60090198201655,8.14174775015851e-18
"AQI_CatUnhealthy for Sensitive Groups",0.186417439799715,0.0329342951425746,5.6602832698469,1.51975479236496e-08
"AQI_CatUnhealthy",0.148863325679152,0.175091289377967,0.850204063308959,0.395215846062485
"WeekdayMonday",-0.060928500111698,0.0113313157592254,-5.3770013479761,7.60863770038108e-08
"WeekdaySaturday",0.456924116500471,0.0100440766036421,45.4918988107663,0
"WeekdaySunday",0.426171531192578,0.0101106810899452,42.1506254031091,0
"WeekdayThursday",-0.0710050205023875,0.0113006245593206,-6.28328285128485,3.34308292809306e-10
"WeekdayTuesday",-0.0659663399347849,0.0113494785735295,-5.81227934899482,6.2013208367433e-09
"WeekdayWednesday",-0.0732365710236197,0.0113231453001941,-6.467864633192,1.00341812355969e-10
"Holiday1",0.212151829278059,0.0168141135939798,12.6174851913704,1.93037947172366e-36
"Month5",-0.056200583784898,0.0107237434181394,-5.24076169985881,1.60583679019408e-07
"Month6",-0.158639455240392,0.0125657675083415,-12.6247326424815,1.76117331134399e-36
"Month7",-0.276524138028968,0.013850467385715,-19.9649679919227,2.52191257923784e-88
"Month8",-0.302908102842619,0.0143251286053271,-21.1452274662286,8.55419346062807e-99
"Month9",-0.156738001470822,0.012470359023671,-12.5688443430782,3.56820339556408e-36
"Month10",-0.0885653617506294,0.010261556062878,-8.63079256283772,6.27447677483354e-18
"Year2012",0.240969572527621,0.0517785897211663,4.65384580432318,3.26661884513096e-06
"Year2013",0.259346499857151,0.0517903960886561,5.00761761723535,5.53010783988101e-07
"Year2014",0.434685784027924,0.0552763300344912,7.86386838194014,3.80108650838127e-15
"Year2015",0.705516900962932,0.0431414081457,16.3535900029089,5.94059924501338e-60
"Year2016",0.723771671314623,0.0425661318907715,17.0034635322722,1.19323597543662e-64
"Year2017",0.770198878169425,0.0422993997536407,18.2082696836173,7.83284520651249e-74
"Year2018",0.731631211535699,0.0420919070935385,17.3817548800969,1.81910209516616e-67
"Year2019",0.432484922903475,0.0424540906780114,10.187120157245,2.39547938498281e-24
"Year2020",0.470386023184446,0.0425260529045925,11.0611258524218,2.09444059752496e-28
"Year2021",0.632328866184627,0.0420290960851079,15.0450265431399,4.85593419471436e-51
"Year2022",0.630892377251241,0.0421203450126966,14.9783288114347,1.32128916816849e-50
"Year2023",0.585270438022791,0.0421678788867059,13.8795323235314,1.02240395095175e-43
"MeanT",-0.0132586424854379,0.000907831234818025,-14.6047436758393,3.31812283860673e-48
"Precip",-0.0276476285963481,0.00279700156296764,-9.88473834351874,5.09816266250246e-23
"Sunshine_Hrs",0.661687557127927,0.0329499336265804,20.0816051597187,2.47334130561768e-89
"RelativeH",-0.00111684459382785,0.000300155033669217,-3.72089243407012,0.000198744241413939
"WindSpeed",-0.0062570421000686,0.000532403248555868,-11.7524491389575,7.57940151319772e-32
"WMO1",-0.0830279032106463,0.0154922016973633,-5.3593352857507,8.39095698584978e-08
"WMO2",-0.071073213483515,0.015449697082445,-4.60029818735238,4.2295356811413e-06
"WMO3",-0.0520748715097287,0.0115503542511951,-4.50850860304483,6.5437758139929e-06
"WMO51",-0.0638769283427884,0.012458581388173,-5.12714299907588,2.95301867771073e-07
"WMO53",-0.0899433848179098,0.014954143346946,-6.01461298926751,1.81605598834736e-09
"WMO55",-0.0985733656752798,0.0194365254972276,-5.07155281890995,3.96035574618216e-07
"WMO61",-0.119537614421209,0.0176273584138002,-6.78136857577169,1.20405161875349e-11
"WMO63",-0.136067777210041,0.019913380148177,-6.83298245689834,8.41478259680297e-12
"WMO65",-0.00657270386627087,0.0379677953700355,-0.17311260246251,0.86256364261243
"TrafficTypePed:IsOAD1",0.132519619984588,0.0312180023910845,4.24497436845716,2.19025025746644e-05
"IsOAD1:Holiday1",-0.104555322965411,0.0717621126898564,-1.45697108190335,0.145130846131815
"TrafficTypePed:AQI_CatModerate",-0.104867295165427,0.0118262654094353,-8.86732130007507,7.74160174414285e-19
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.300927226880791,0.0429869376831474,-7.00043415743865,2.58480940312388e-12
"TrafficTypePed:AQI_CatUnhealthy",-0.161339404175926,0.225970172426846,-0.713985401007546,0.475239647696995
