"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.37323950821495,0.0729061330057197,32.5519871974113,1.8410568316568e-231
"TrafficTypePed",0.445333884176807,0.00846489041425221,52.6095273988432,0
"StationAL0002",0.8200182555407,0.0316701127033345,25.8924956542501,1.98792954233647e-147
"StationBK0001",0.856032286512647,0.0586538904255128,14.5946378032632,3.32948731471557e-48
"StationCL0001",-0.249448877678095,0.0950095537684558,-2.62551362240915,0.00865288875844724
"StationDA0001",1.02017067463974,0.0283649838064467,35.9658472432436,8.00176392988699e-282
"StationDA0002",1.04967686038209,0.0307317204757578,34.156137181129,1.63206581817342e-254
"StationDA0003",1.90700816761751,0.0269475808148596,70.7673234461898,0
"StationDA0004",1.06046425969236,0.0309778811716965,34.2329500786281,1.20681587546716e-255
"StationDA0005",1.70648280478084,0.0276694923412165,61.6738024585604,0
"StationDA0006",1.8479300104777,0.0274421799716089,67.3390383850531,0
"StationDA0007",2.03795258458708,0.0272005525198701,74.9232054421816,0
"StationDA0008",2.66049522023254,0.0268728096110956,99.003240030921,0
"StationDA0009",2.38297404660151,0.0266465451264041,89.4290060980635,0
"StationDA0010",2.2441421822499,0.0266471132132576,84.217084390717,0
"StationDA0011",2.241539926199,0.0275898378229434,81.2451287529847,0
"StationDA0012",0.896547936256179,0.0317137715668767,28.2699878305416,2.89635007855955e-175
"StationDA0013",0.760112477885714,0.029132544831756,26.0915234928996,1.14954234458726e-149
"StationDA0014",-0.616542250946395,0.0464312102840939,-13.2786168435848,3.28017037138913e-40
"StationDA0015",1.35474387032557,0.0284366768900582,47.6407238287116,0
"StationDA0016",0.548087673556798,0.0311342352668629,17.6040191403109,2.7832762000654e-69
"StationDA0017",-1.2187591464011,0.0486896367177658,-25.0311817577477,6.13957697323006e-138
"StationDA0018",2.16684294961573,0.0269738747626138,80.331171130779,0
"StationDA0019",2.07612311460399,0.0273261617955379,75.975657691634,0
"StationDA0020",1.95392935503882,0.0276199438130919,70.7434225160392,0
"StationDA0021",-0.694792108784654,0.0442993911146947,-15.6840103509726,2.19801291285886e-55
"StationDA0022",-0.380521199593117,0.0374322110721733,-10.1656084076741,2.88568425335681e-24
"StationDA0023",1.47374250892787,0.0281406433309912,52.3706047368448,0
"StationDA0024",1.22570489208466,0.03064630753552,39.9951899805232,0
"StationDA0025",-0.152370398274808,0.0371588359785432,-4.10051591397512,4.1249057583794e-05
