"","2.5 %","97.5 %"
"IsOAD1",-0.0366369380513635,0.00936063408499439
"IsOAD1:Holiday1",-0.204151557328874,-0.0644031228394507
"TrafficTypePed:IsOAD1",-0.083472180880586,-0.0225724503740083
"TrafficTypePed",0.428751225759368,0.461933244856473
"AQI_CatModerate",0.117501194933467,0.148767510702428
"AQI_CatUnhealthy for Sensitive Groups",0.0793345155360511,0.130913539466902
"AQI_CatUnhealthy",-0.0466856061856987,0.0759837292266922
"AQI_CatVery Unhealthy",-0.62262138137665,0.16980271954141
"TrafficTypePed:AQI_CatModerate",-0.176797157841652,-0.13765014448164
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.219580613322958,-0.153454898397553
"TrafficTypePed:AQI_CatUnhealthy",-0.228051721155091,-0.0649140540400722
"TrafficTypePed:AQI_CatVery Unhealthy",-0.589130148374422,0.495815128742749
