"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.06961434116921,0.230408217457197,8.98238076753351,5.09002795331372e-19
"TrafficTypePed",-0.11090205707932,0.0866590773152523,-1.27975118724004,0.200751354701499
"StationEP0016",-0.270192172897956,0.0799534829625953,-3.37936713806902,0.000737669848091712
"StationEP0034",4.0462871299069,0.0506128725731558,79.9458107037573,0
"StationEP0036",4.10225672564453,0.0509297404893218,80.5473714617616,0
"StationEP0038",0.611651784377599,0.0523089803903767,11.6930549938634,8.62083396898499e-31
"IsOAD1",0.0991332335092087,0.0961565795984772,1.03095632065077,0.302660989607683
"AQI_CatModerate",0.0329535417600981,0.0842413910213329,0.391179933766206,0.69569756122924
"AQI_CatUnhealthy for Sensitive Groups",-0.0953519118661398,0.139917932769903,-0.681484567263776,0.495628025578132
"WeekdayMonday",-0.137145356461397,0.0226061768908208,-6.06672048634127,1.50364207057458e-09
"WeekdaySaturday",-0.298009642284552,0.0222127659781066,-13.4161428873053,1.10771358952997e-39
"WeekdaySunday",-0.763045839303903,0.0258447191066785,-29.5242457909603,1.27127391019218e-164
"WeekdayThursday",-0.105456323998254,0.0211369294642652,-4.98919789539642,6.47933956156847e-07
"WeekdayTuesday",-0.0910889250556234,0.0214849718743113,-4.23965763550917,2.31986531453199e-05
"WeekdayWednesday",-0.0780874961943672,0.0210457335966402,-3.7103717879824,0.000211465144246506
"Holiday1",-0.2944374188276,0.0398019584053916,-7.39756109055467,1.88324017308801e-13
"Month6",-0.0447716432755031,0.0242613729710954,-1.84538786526398,0.0650992745807028
"Month7",-0.172856749349443,0.0285379004520531,-6.05709413135917,1.59502244475968e-09
"Month8",-0.234212465779993,0.0300402334898471,-7.79662601021897,9.25520138912976e-15
"Month9",-0.0932266771221912,0.0260123394335766,-3.58394051254977,0.000344919319928055
"Month10",-0.0194585110924946,0.0273828934370947,-0.71060829043489,0.477393262178309
"Year2020",0.227391008459333,0.165506859914809,1.37390684939813,0.169593723110853
"Year2022",0.224872235719616,0.118948186524864,1.89050579323133,0.0588058504927809
"Year2023",0.163578042821449,0.119163000558741,1.37272510808264,0.169960896116518
"MeanT",-0.0021770903851197,0.00214931090115696,-1.01292483276746,0.311194047930495
"Precip",-0.018317928373211,0.0243440011087176,-0.752461696473194,0.451844269376782
"Sunshine_Hrs",0.334114608995937,0.18193650533586,1.83643523535396,0.0664119354393103
"RelativeH",0.000427186976682064,0.000444667392339701,0.960688784563987,0.336801538467007
"WindSpeed",-0.00078843952093925,0.00110396416329045,-0.714189415885791,0.475176708093944
"WMO1",0.0369336492654255,0.0230477357811419,1.60248493023967,0.109174696669349
"WMO2",-0.0435912663654134,0.025442964163662,-1.71329354885745,0.0867824772939508
"WMO3",-0.0226640835037762,0.0180199442698371,-1.25772217518523,0.208609669263088
"WMO51",-0.0517564357866991,0.0269008199390252,-1.92397242552506,0.0544714008110671
"WMO53",-0.0303150148559734,0.0486040349369709,-0.623713954927518,0.532872336201117
"WMO55",-0.136850115446127,0.0850560749200989,-1.60893993256429,0.107755686646724
"WMO61",0.0163863260443782,0.0545509069857987,0.300385950478221,0.763907744994633
"WMO63",-0.0636598779918535,0.111549301170507,-0.570688272574181,0.568262238816177
"WMO65",0.0413259826010661,0.224672989912347,0.183938365787489,0.854076718181273
"TrafficTypePed:IsOAD1",0.0216246079551801,0.098207208497568,0.220193693375529,0.825738279491983
"IsOAD1:Holiday1",0.938953121798394,0.569213963746592,1.64956094122878,0.0991583479428646
"TrafficTypePed:AQI_CatModerate",-0.0376399992791702,0.0853277746797185,-0.441122476479125,0.659162462203537
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",0.137256792074023,0.142210293252972,0.965167773262811,0.334554100112556
