"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.34110107784955,0.141005908366291,9.51095662151809,2.10075464472251e-21
"TrafficTypePed",-0.300084648935026,0.024231252493183,-12.384198836583,4.30376344651778e-35
"StationHO0001",2.82229285745142,0.0842413333634916,33.5024713494687,2.35021523942619e-239
"StationHO0002",2.31910493606161,0.082535887054177,28.0981403221527,2.39610645786964e-170
"StationHO0003",0.419004326543004,0.0821145170879828,5.1026827094904,3.37993442624419e-07
"StationHO0004",1.08369711769894,0.083594183639297,12.9637861214725,2.81900908732212e-38
"StationHO0005",1.5593816921622,0.0821225921944251,18.9884616461005,1.10015871197597e-79
"StationHO0006",1.48589484310385,0.082863938234061,17.9317429845867,2.47143748781797e-71
"StationHO0007",-0.461247916675776,0.0903040915076385,-5.10771891921155,3.29122089129504e-07
"StationHO0008",0.437584271478974,0.0953334093665779,4.59004114492923,4.4590360310305e-06
"StationHO0063",0.672329105715148,0.109011830083271,6.1674875580162,7.07396856882738e-10
"StationHO0089",0.833476263592627,0.0826348109578464,10.0862609102815,7.26484944880404e-24
"StationHO0090",-0.448124693514968,0.100218954704978,-4.47145647082578,7.81238993466789e-06
"StationHO0104",0.496766225842848,0.086516927584294,5.74183850159086,9.50365518133238e-09
"StationWB0001",0.442431579378405,0.0874137904747037,5.06134760860689,4.2006326256291e-07
"IsOAD1",-0.0800827980213452,0.0250934096759811,-3.1913876613587,0.00141814028545854
"AQI_CatModerate",0.0875912842456163,0.0185981157206767,4.70968594674542,2.49795397847528e-06
"AQI_CatUnhealthy for Sensitive Groups",0.08803575589634,0.0314444790538184,2.79972060423273,0.00511967855418248
"AQI_CatUnhealthy",0.109170931461892,0.0544696580643335,2.00425218996145,0.0450567611351995
"AQI_CatVery Unhealthy",-0.156139931877014,0.166385993814524,-0.938419925243638,0.348040193742836
"WeekdayMonday",-0.0302292082429568,0.0213865535028306,-1.41346796429616,0.157534028096042
"WeekdaySaturday",0.757138330169024,0.0182074947361701,41.583882963587,0
"WeekdaySunday",0.785547992832482,0.0181810091658623,43.2070621419339,0
"WeekdayThursday",-0.0496248595180457,0.0212991280975305,-2.3299009842473,0.0198214677414759
"WeekdayTuesday",-0.027277601001473,0.021449235962076,-1.2717283286781,0.203484725021857
"WeekdayWednesday",-0.0343024907594404,0.0214175222831436,-1.60160873447241,0.10925824557758
"Holiday1",0.282671717472153,0.0273713768202309,10.3272743394926,6.14472252568372e-25
"Month4",0.0548616217366453,0.020569239601796,2.66716819866569,0.00765561100229514
"Month5",-0.0777008864455195,0.0240069588231905,-3.23659848037317,0.00121164021571201
"Month6",-0.24726418067829,0.027481092940599,-8.9976108742384,2.51216062493518e-19
"Month7",-0.329521219870481,0.0289096665133292,-11.3983058129899,5.29797549936409e-30
"Month8",-0.370678649198408,0.0298769489743007,-12.4068441365032,3.25170507821321e-35
"Month9",-0.177295663341278,0.026151054973806,-6.77967537137084,1.23868508623691e-11
"Month10",-0.115370639980214,0.0223302066751433,-5.16657286959363,2.40757470601984e-07
"Month11",-0.0986357248212282,0.0210786426072478,-4.67941539970476,2.89613194363513e-06
"Year2014",0.45368340566681,0.0401415810720752,11.3020811226197,1.58104299389684e-29
"Year2015",0.557636717349879,0.0397476292023226,14.0294334163028,1.68920442427311e-44
