"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.81122898798396,0.235399682621012,20.4385534186549,1.19915348067572e-91
"TrafficTypePed",0.23603814089742,0.0390728910823907,6.0409694383684,1.56669239776895e-09
"StationSA0002",-0.588727477128003,0.0527021388781795,-11.1708459971395,7.28751128288684e-29
"StationSA0003",-0.846422144117362,0.0552797291922793,-15.3116188607447,1.54037234379945e-52
"StationSA0004",-1.2088500439081,0.0678979194361127,-17.8039335217856,3.25579554344946e-70
"StationSA0012",-2.20050882497277,0.433120010879734,-5.08059837850297,3.80589639592151e-07
"StationSA0017",0.102235583576284,0.0851662461371304,1.20042373843353,0.22999303164374
"StationSA0019",-1.0554401035428,0.0473781242488145,-22.2769499695677,2.98926130400029e-108
"StationSA0021",-2.19625561607511,0.0698222679779904,-31.4549452442224,1.26862245788395e-210
"StationSA0023",-1.01114328406161,0.0484178024370273,-20.8837087428061,1.51973595339437e-95
"StationSA0024",-1.99624813451246,0.252975744126649,-7.89106537231119,3.19392655679017e-15
"StationSA0029",-0.500168321153287,0.252259354306568,-1.98275430668644,0.0474123817148057
"StationSA0095",0.353924916773468,0.251664307953064,1.40633735332654,0.159643880466828
"StationSA0096",0.62483035856788,0.245014273082674,2.55017942712686,0.0107762161106413
"StationSA0097",0.615948482765393,0.244230721063285,2.52199428509154,0.0116790247871651
"StationSA0098",-0.451326824996017,0.273392484370062,-1.65083844947655,0.098791684498306
"StationSA0099",0.020690419746318,0.25692709915494,0.0805303131291753,0.935816520556637
"StationSA0100",0.580073327400865,0.244012247263301,2.37723038046914,0.0174551677565667
"IsOAD1",-0.0544058291203623,0.0873701127026888,-0.622705264276121,0.533487319665494
"AQI_CatModerate",0.219499202413604,0.0371685967546181,5.90550146035126,3.5887675672911e-09
"AQI_CatUnhealthy for Sensitive Groups",0.131867507496345,0.0956780857873419,1.37824148979568,0.168148496087916
"AQI_CatUnhealthy",0.172722764717532,0.390025191421275,0.442850278691282,0.657880170226841
"WeekdayMonday",0.14120519027096,0.0462931607726742,3.05023869431509,0.00229043011973415
