"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.0750446740553138,-0.124307001650416,-0.0257823464602114,0.0122203016940321,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.0640342076412732,-0.119165707881831,-0.00890270740071526,0.0560731421507347,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.104074784603639,-0.232417699025085,0.024268129817806,0.182259174731896,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.0930643181895989,-0.22437198529629,0.0382433489170925,0.243699311795947,"Afternoon - Ped - 1"
"Bic","Midday","0",0.000453739802157845,-0.0536414546222346,0.0545489342265503,0.988992169545286,"Midday - Bic - 0"
"Ped","Midday","0",0.0114642062161984,-0.0471379542462392,0.070066366678636,0.747620168613423,"Midday - Ped - 0"
"Bic","Midday","1",-0.0285763707461678,-0.159150975801565,0.10199823430923,0.718863803969148,"Midday - Bic - 1"
"Ped","Midday","1",-0.0175659043321272,-0.150662654842984,0.11553084617873,0.828141908136047,"Midday - Ped - 1"
"Bic","Morning","0",0.0295665267338789,-0.0147885901379884,0.0739216436057461,0.27288740722623,"Morning - Bic - 0"
"Ped","Morning","0",0.0405769931479194,-0.0076557707950959,0.0888097570909348,0.16642785926959,"Morning - Ped - 0"
"Bic","Morning","1",0.000536416185553239,-0.126121328592596,0.127194160963702,0.99444180309074,"Morning - Bic - 1"
"Ped","Morning","1",0.0115468825995938,-0.117132182509211,0.140225947708399,0.882659057929101,"Morning - Ped - 1"
