"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.198456724153233,-0.226094708985523,-0.170818739320942,3.42460216595074e-32,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.327461421080865,-0.355249271718154,-0.299673570443576,1.06338459251084e-83,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.364836206143404,-0.425859045587797,-0.303813366699011,8.03155089229852e-23,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.493840903071037,-0.554922744791048,-0.432759061351025,2.36203631495758e-40,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.0402050333508626,-0.068785919654793,-0.0116241470469323,0.0206768901471547,"Midday - Bic - 0"
"Ped","Midday","0",-0.169209730278495,-0.198386005699289,-0.140033454857702,1.43609938012175e-21,"Midday - Ped - 0"
"Bic","Midday","1",-0.206584515341034,-0.268069536221108,-0.14509949446096,3.2655147426845e-08,"Midday - Bic - 1"
"Ped","Midday","1",-0.335589212268667,-0.397344323755384,-0.273834100781949,3.94657919475139e-19,"Midday - Ped - 1"
"Bic","Morning","0",0.163617713514676,0.140993936242268,0.186241490787084,1.24503466004705e-32,"Morning - Bic - 0"
"Ped","Morning","0",0.0346130165870432,0.0145663382861493,0.0546596948879371,0.00451080350539782,"Morning - Ped - 0"
"Bic","Morning","1",-0.0027617684754955,-0.0617452323559853,0.0562216954049943,0.938610352120797,"Morning - Bic - 1"
"Ped","Morning","1",-0.131766465403128,-0.189800774572541,-0.0737321562337153,0.000187992955034468,"Morning - Ped - 1"
