"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.796033976750409,0.0451211887921961,17.642132179108,1.27364045763672e-69
"TrafficType1",-0.132918833573548,0.0234325878593246,-5.67239241228985,1.40952318686033e-08
"Station1",0.034695012516496,0.0153260017312642,2.26380063925741,0.0235871252351901
"Station2",0.881475879561788,0.0115686836713548,76.1950023531551,0
"Station3",0.823945176538202,0.030919042453634,26.6484700415217,2.89897011281826e-156
"Station4",-0.352587224301997,0.0526322649844177,-6.69906994134461,2.10136202945642e-11
"Station5",1.0725250516055,0.0080115438026057,133.872456798734,0
"Station6",1.16125227367409,0.0106684042533457,108.849669181771,0
"Station7",1.17140283392917,0.0109190164991389,107.280983962388,0
"Station8",1.92696287435988,0.00703345463823492,273.971038909474,0
"Station9",0.97318829340797,0.011544152804366,84.3014043473085,0
"Station10",0.81277865432577,0.00887505623047159,91.5801132093314,0
"Station11",-0.506117823008946,0.0226970134496761,-22.2988731152278,4.70665905871368e-110
"Station12",1.41520323543352,0.00822920137171533,171.973338785673,0
"Station13",0.620597500398096,0.0110150151498945,56.3410482829921,0
"Station14",-1.14439375658827,0.0242178032835064,-47.2542345476752,0
"Station15",-0.631087596526668,0.0211136749807719,-29.8899929596054,5.335972534914e-196
"Station16",-0.340595322100224,0.0161864644835322,-21.0419837171199,3.21639982422213e-98
"Station17",1.55625048846439,0.00788878484783689,197.273790384981,0
"Station18",-0.10497899471536,0.0160164158690835,-6.55446234497454,5.59370517335008e-11
"Station19",0.176033599063502,0.026861215848092,6.55344866215377,5.63182015353412e-11
"Station20",-1.61803382602483,0.0340446779314736,-47.526777291936,0
"Station21",-1.58349532847294,0.0478545055804663,-33.0897855753692,1.18830970350821e-239
"Station22",1.10042920293482,0.022537616695774,48.8263341146076,0
"Station23",0.862707066585375,0.00988614569944573,87.2642476464557,0
"Station24",0.0370180274678202,0.0275471374880816,1.34380668350155,0.179011974131113
"Station25",0.0256316467768426,0.0174004258940235,1.47304709280974,0.140739438848366
"Station26",-1.44524504941666,0.0305275066650112,-47.3423874827324,0
"Station27",-0.672113580199596,0.0231495868200714,-29.0335022142534,4.62869223347177e-185
"Station28",-0.195643942616495,0.0188990902192172,-10.352029666357,4.13917834468152e-25
"Station29",0.54981972009747,0.0205465515855015,26.7597079641066,1.49134800933602e-157
"Station30",-0.271318272827814,0.0193461720316518,-14.0243905814502,1.1439900126416e-44
"Station31",-0.0875428939344541,0.0169608396244613,-5.16147171206063,2.45179274426395e-07
"Station32",-0.472468110868879,0.0333724567078873,-14.157426736798,1.74101094687637e-45
"Station33",-1.52259350257679,0.0553521545955577,-27.5073935911247,2.3638367539867e-166
