"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",0.000794764533971981,-0.165548119430524,0.167137648498468,0.993729573238183,"Afternoon - Bic - 0"
"Ped","Afternoon","0",0.0470417486089544,-7.02030102008727e-05,0.0941537002281097,0.100506600920033,"Afternoon - Ped - 0"
"Bic","Afternoon","1",0.91068619437585,0.230080949676882,1.59129143907482,0.0277429575846806,"Afternoon - Bic - 1"
"Ped","Afternoon","1",0.956933178450833,0.280446616091361,1.6334197408103,0.0199785828312857,"Afternoon - Ped - 1"
"Bic","Midday","0",0.0301270179313118,-0.137919582718575,0.198173618581199,0.768081217819344,"Midday - Bic - 0"
"Ped","Midday","0",0.0763740020062942,0.0216130067292575,0.131134997283331,0.021788053769995,"Midday - Ped - 0"
"Bic","Midday","1",0.94001844777319,0.258962000558982,1.6210748949874,0.0231902505447875,"Midday - Bic - 1"
"Ped","Midday","1",0.986265431848173,0.309170180124133,1.66336068357221,0.0165789610145963,"Midday - Ped - 1"
"Bic","Morning","0",0.0670622190600689,-0.0905438171241193,0.224668255244257,0.483993444647556,"Morning - Bic - 0"
"Ped","Morning","0",0.113309203135051,0.0421926374787076,0.184425768791395,0.00877426748813993,"Morning - Ped - 0"
"Bic","Morning","1",0.976953648901947,0.298439843939687,1.65546745386421,0.0178685079678955,"Morning - Bic - 1"
"Ped","Morning","1",1.02320063297693,0.344628694421497,1.70177257153236,0.0131297229245623,"Morning - Ped - 1"
