"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.941914956265274,0.166482131967108,5.65775404925359,1.62531191967184e-08
"TrafficType1",-0.01063522309187,0.0376288635239916,-0.282634714308849,0.77746940593318
"Station1",-1.26135813794926,0.0257525030016677,-48.9800210048545,0
"Station2",-1.57001212184265,0.0426283687168318,-36.830218211534,6.79186313603445e-261
"TimeOfDay1",-0.123601705193464,0.0288308782149596,-4.28712938509554,1.84650454857254e-05
"TimeOfDay2",0.000699781485110361,0.0290721491722126,0.0240705109541478,0.980797394857823
"IsOAD1",0.255365270400107,0.103101799435503,2.47682651319637,0.0132908190116279
"AQI_Cat1",0.0594599531009259,0.0335892085196851,1.77021000855317,0.0767574650107983
"AQI_Cat2",0.0173589940573721,0.0250613378572391,0.692660310325689,0.488557230537103
"Weekday1",0.1895944891188,0.0130043102223368,14.5793576035385,4.07545555559766e-47
"Weekday2",0.0234920079943401,0.0145617316222907,1.61327022113079,0.106753450948387
"Weekday3",0.0711244430136427,0.0136844862392171,5.19745073145778,2.10664760932337e-07
"Weekday4",-0.487709885592829,0.0172799760895665,-28.2239907662434,6.08123732947343e-162
"Weekday5",0.0499762393551641,0.013880175609338,3.60054805945987,0.000320849214256013
"Weekday6",0.0716613265254717,0.0136008429556694,5.26888860926081,1.43435241625355e-07
"Holiday1",-0.164895057225362,0.102912781357627,-1.6022796687648,0.109161483146507
"Month1",0.0658045927261054,0.0153302532818518,4.29246611365554,1.80283444718146e-05
"Month2",0.0356506520715399,0.0137021023268812,2.60183811367394,0.00930187001977733
"Month3",-0.0111667018307937,0.0160124307190795,-0.697377058280605,0.48560160772511
"Month4",-0.0762218743082015,0.0167705722335017,-4.54497755037464,5.63303050377961e-06
"Month5",-0.0207222644755679,0.0132903719727506,-1.55919371692945,0.11901837055823
"Year1",-0.126726500677288,0.0664642717459548,-1.90668606377984,0.0566226284693278
"Year2",0.0284211096898281,0.0731829453113504,0.388357008165126,0.697769576474087
"Year3",0.109176924960324,0.0353730387428954,3.08644461545596,0.00203753862283574
"MeanT",-9.17097161636898e-05,0.00213989412590876,-0.0428571278612874,0.965817258501062
"Precip",0.00178422047119851,0.0341687108283989,0.0522179628069426,0.958357255979095
"Sunshine_Hrs",0.219967155133665,0.0914223428574361,2.40605467174126,0.0161645092218322
"RelativeH",-0.0016250174181393,0.000539847306216384,-3.01014268187893,0.00262522364241591
"WindSpeed",-0.00489444263099806,0.00097983302992614,-4.99518028226401,6.09277812347121e-07
"WMO1",0.010855468128523,0.0598269467280235,0.181447804412826,0.856023981979041
"WMO2",0.00753452655883232,0.0600181113857167,0.12553754833121,0.900103410405967
"WMO3",0.0422194925306498,0.0610752490910145,0.691270083364444,0.489430226001553
"WMO4",0.0235847518474734,0.0594963630877646,0.396406614177121,0.6918232183877
"WMO5",-0.0369946927115189,0.0565183008564676,-0.65456130405388,0.512782514320354
"WMO6",-0.077837421278771,0.0518058000025337,-1.50248468848979,0.133039665208856
"WMO7",-0.052416948882379,0.10315039097569,-0.508160447930169,0.61136485314886
"WMO8",0.0657958450065207,0.0417064401104025,1.57759436749697,0.114726630276257
"WMO9",-0.0436567506916473,0.0872757016352575,-0.500216553676045,0.616946198817292
"TimeOfDay1:IsOAD1",-0.0159332846539061,0.0127917276259424,-1.24559286437529,0.212976459606529
"TimeOfDay2:IsOAD1",-0.00126715795523618,0.0136688225689122,-0.0927042507756408,0.9261425006918
"TrafficType1:IsOAD1",-0.0115617460187456,0.0246259865852139,-0.469493718708008,0.638738716309277
"IsOAD1:Holiday1",-0.22747285746047,0.102705462216903,-2.21480778675696,0.0268214028835959
"TrafficType1:TimeOfDay1",-0.407674583935186,0.0254949756123024,-15.9903892490278,4.50038745886525e-56
"TrafficType1:TimeOfDay2",-0.289151269683407,0.0262026772813758,-11.0351803587998,5.71917842888817e-28
"TimeOfDay1:AQI_Cat1",-0.0626665643683769,0.0184865837232732,-3.38984018391048,0.000705137034773289
"TimeOfDay2:AQI_Cat1",0.0546293436151692,0.0195266980385878,2.79767442028412,0.00516830517161874
"TimeOfDay1:AQI_Cat2",0.0346027951148501,0.0132682060536125,2.6079482768832,0.00913770422951633
"TimeOfDay2:AQI_Cat2",-0.0343442481432522,0.014116269224877,-2.43295502488203,0.0150134913763526
"TrafficType1:AQI_Cat1",0.0176268457252386,0.033350185581048,0.528538160077149,0.59715101173916
"TrafficType1:AQI_Cat2",0.0464162567674503,0.0252824993897802,1.83590459360252,0.0664353778896182
