"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.117928693409091,-0.167652926203267,-0.0682044606149158,9.57865450636086e-05,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.116085875924604,-0.17152958602817,-0.0606421658210381,0.000573323447212716,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.164277489489114,-0.314906284325212,-0.013648694653016,0.0728297362515749,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.162434672004626,-0.31548380936741,-0.00938553464184244,0.0808592553265916,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.0881292935216582,-0.143194822132512,-0.033063764910804,0.00847600016650109,"Midday - Bic - 0"
"Ped","Midday","0",-0.0862864760371708,-0.148033550930713,-0.0245394011436288,0.0215306122821279,"Midday - Ped - 0"
"Bic","Midday","1",-0.134478089601681,-0.286794245745492,0.0178380665421307,0.14644006895496,"Midday - Bic - 1"
"Ped","Midday","1",-0.132635272117193,-0.287922744856561,0.0226522006221748,0.160046730548628,"Midday - Ped - 1"
"Bic","Morning","0",0.00664018982347319,-0.0367686683210768,0.0500490479680232,0.80134186027026,"Morning - Bic - 0"
"Ped","Morning","0",0.00848300730796067,-0.0404101925554622,0.0573762071713836,0.775350459526364,"Morning - Ped - 0"
"Bic","Morning","1",-0.0397086062565492,-0.188269573558614,0.108852361045516,0.66019054446713,"Morning - Bic - 1"
"Ped","Morning","1",-0.0378657887720618,-0.188564415122252,0.112832837578129,0.679387132577209,"Morning - Ped - 1"
