"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.14807355575081,0.117557488679305,18.2725369509272,2.68340957546012e-74
"TrafficType1",0.0488790172025814,0.0392452479155063,1.24547607159512,0.212963845863176
"Station1",0.307056931038348,0.063255549632037,4.85422912020408,1.21295093460624e-06
"Station2",0.0461289915271039,0.0639557648321312,0.721264011902314,0.470751162372554
"Station3",-0.317361386491591,0.0664694621982754,-4.77454421919221,1.80728765845797e-06
"Station4",-1.37767989512511,0.178867076503673,-7.70225533985745,1.3664752569215e-14
"Station5",-0.187640373156575,0.0611438075744561,-3.06883690434361,0.00215032587380891
"Station6",-1.29201082205055,0.0590440276731773,-21.8821593472949,1.52411114448476e-105
"Station7",-0.140500597095303,0.061231858003579,-2.29456694074334,0.0217629284392495
"Station8",-1.32329707895807,0.129843701250722,-10.1914614741523,2.31301506724559e-24
"Station9",0.353525504964518,0.0741498801437284,4.76771512346699,1.86958745019047e-06
"Station10",1.14834426640779,0.0759598527299134,15.1177789995315,1.69696887140451e-51
"Station11",0.446576177585118,0.088154527206899,5.06583373236183,4.08358777502773e-07
"Station12",0.88687986285537,0.0765843747706554,11.5804283251157,5.77991590809202e-31
"TimeOfDay1",-0.150436320515698,0.0616780171423698,-2.43905896274923,0.0147297310717222
"TimeOfDay2",-0.01314443641033,0.0612527064708832,-0.214593561128246,0.830085270075609
"IsOAD1",-0.0705080638930379,0.0462076484213424,-1.52589595666313,0.127043407237487
"AQI_Cat1",-0.0147079615641076,0.0405850313720513,-0.362398674261867,0.717055977584352
"AQI_Cat2",0.0316375260633902,0.0397686866271722,0.795538619617719,0.42630481060961
"AQI_Cat3",0.0387781104273516,0.047525010965699,0.815951635557529,0.414532486455781
"Weekday1",-0.212521837349107,0.0180421259232419,-11.7792015338578,5.61944907673024e-32
"Weekday2",-0.136487258009609,0.0177607640640664,-7.68476274541311,1.56646511836613e-14
"Weekday3",0.462260757417057,0.0137885242938743,33.5250348452751,3.75151381126125e-243
